Ticker,Company,Price,52W High,% Off 52W High,30Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
CNC,Centene Corporation,63.14,66.55,5.1%,64.00,64.00,54.30,,1.3%,1.46,—,-26.1%,3.4%,2.4,SELLING,$-5.2M,0,1,✅ 3/4,↑1 ↓0,$31.18B,Health Services,NYSE
BRO,"Brown & Brown, Inc.",60.40,111.09,45.6%,65.46,65.46,47.04,28.19,7.7%,1.61,1.09%,11.7%,6.4%,4.5,BUYING,$+164K,2,0,✅ 4/4,↑1 ↓0,$20.47B,Finance,NYSE
TSN,"Tyson Foods, Inc. Class A",57.42,69.48,17.4%,59.49,59.49,53.67,32.89,3.5%,1.09,3.55%,2.5%,3.5%,3.2,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$19.82B,Consumer Non-Durables,NYSE
RCI,Rogers Communications Inc. Class B,36.57,41.14,11.1%,37.25,37.25,34.45,24.53,1.8%,1.53,3.85%,49.3%,—,13.1,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$19.76B,Communications,NYSE
AMCR,Amcor PLC,40.43,50.94,20.6%,43.55,43.55,39.85,,7.2%,1.60,6.43%,8.7%,7.2%,6.9,—,—,0,0,🟡 2/4,↑1 ↓0,$18.69B,Process Industries,NYSE
CNH,CNH Industrial NV,9.99,14.27,30.0%,10.71,10.71,9.23,,6.7%,1.59,1.00%,4.9%,7.1%,4.2,SELLING,$-490K,0,1,🟡 2/4,↑1 ↓0,$12.39B,Producer Manufacturing,NYSE
RVTY,"Revvity, Inc.",99.90,118.30,15.6%,117.09,117.09,94.09,57.23,14.7%,1.55,0.28%,3.2%,11.8%,5.3,SELLING,$-4.7M,0,6,✅ 4/4,↑0 ↓0,$11.14B,Health Technology,NYSE
WTRG,"Essential Utilities, Inc.",37.29,42.37,12.0%,37.43,37.43,32.02,21.15,0.4%,1.53,3.67%,8.3%,1.7%,2.3,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$10.58B,Utilities,NYSE
GME,GameStop Corp. Class A,21.08,28.10,25.0%,21.96,21.96,15.37,,4.0%,1.62,—,14.1%,14.4%,6.2,BUYING,$+21.1M,4,6,✅ 3/3,—,$9.46B,Retail Trade,NYSE
UHS,"Universal Health Services, Inc. Class B",145.85,246.32,40.8%,149.48,149.48,135.53,83.29,2.4%,1.18,0.55%,21.3%,7.0%,2.5,SELLING,$-128K,0,1,✅ 3/4,↑0 ↓0,$8.83B,Health Services,NYSE
EMN,Eastman Chemical Company,69.48,83.47,16.8%,75.60,75.60,68.76,44.69,8.1%,1.32,4.84%,6.7%,6.5%,4.4,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$7.95B,Process Industries,NYSE
REXR,"Rexford Industrial Realty, Inc.",33.68,44.38,24.1%,42.75,42.75,32.39,,21.2%,0.94,5.17%,2.7%,6.1%,5.8,SELLING,$-1.5M,3,2,✅ 3/4,↑1 ↓0,$7.60B,Finance,NYSE
ICL,ICL Group Ltd.,5.00,7.35,32.0%,5.22,5.22,4.58,,4.3%,1.07,3.75%,4.4%,0.5%,2.5,—,—,0,0,🟡 0/4,↑0 ↓0,$6.45B,Process Industries,NYSE
RYN,Rayonier Inc.,21.17,27.34,22.6%,23.20,23.20,21.05,15.42,8.7%,1.20,4.91%,12.9%,3.9%,4.2,SELLING,$-3.7M,0,2,✅ 4/4,↑0 ↓0,$6.40B,Finance,NYSE
CALY,Callaway Golf Company,17.92,18.51,3.2%,17.93,17.93,15.63,12.93,0.1%,1.53,—,0.6%,4.5%,1.8,SELLING,$-149.8M,0,4,✅ 4/4,↑0 ↓0,$3.22B,Consumer Durables,NYSE
PPLI,People Incorporated,41.82,46.33,9.7%,57.16,57.16,41.47,23.27,26.8%,0.69,—,2.4%,19.0%,5.7,SELLING,$-279K,0,1,🔴 0/4,↑0 ↓0,$3.11B,Technology Services,NASDAQ
ITGR,Integer Holdings Corporation,89.54,123.78,27.7%,90.21,90.21,74.03,48.85,0.7%,1.79,—,8.6%,16.0%,6.6,SELLING,$-70K,0,1,✅ 3/4,↑0 ↓0,$3.04B,Health Technology,NYSE
CWT,California Water Service Group,46.28,50.44,8.2%,47.84,47.84,39.52,25.40,3.3%,1.65,2.90%,7.2%,4.5%,3.6,SELLING,$-413K,0,4,🔴 2/4,—,$2.77B,Utilities,NYSE
LCII,LCI Industries,92.26,159.66,42.2%,99.38,99.38,83.25,48.61,7.2%,1.62,4.99%,14.7%,11.4%,6.0,SELLING,$-13.1M,0,3,✅ 4/4,↑0 ↓0,$2.24B,Producer Manufacturing,NYSE
IOSP,Innospec Inc.,81.84,92.14,11.2%,88.55,88.55,72.94,43.73,7.6%,1.50,2.19%,8.8%,2.1%,1.6,SELLING,$-902K,0,13,✅ 4/4,—,$2.02B,Process Industries,NASDAQ
