Ticker,Company,Price,52W High,% Off 52W High,30Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
BDX,"Becton, Dickinson and Company",150.65,187.35,19.6%,171.18,171.18,150.33,94.54,12.0%,1.72,2.79%,5.7%,4.6%,3.9,SELLING,$-980K,0,10,✅ 4/4,↑0 ↓0,$41.51B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",346.65,566.24,38.8%,435.49,435.49,341.69,197.48,20.4%,1.89,1.05%,9.0%,—,—,—,—,0,0,—,—,$34.98B,Technology Services,NASDAQ
MSTR,Strategy Inc Class A,97.58,457.22,78.7%,97.78,97.78,65.08,36.41,0.2%,0.92,—,-30.8%,—,—,—,—,0,0,—,—,$34.20B,Technology Services,NASDAQ
LEN,Lennar Corporation Class A,83.71,144.24,42.0%,92.68,92.68,72.33,48.60,9.7%,0.93,2.39%,7.2%,—,—,—,—,0,0,—,—,$20.12B,Consumer Durables,NYSE
TSN,"Tyson Foods, Inc. Class A",57.48,69.48,17.3%,58.89,58.89,53.59,32.97,2.4%,1.10,3.55%,2.5%,—,—,—,—,0,0,—,—,$19.84B,Consumer Non-Durables,NYSE
AMCR,Amcor PLC,42.78,50.94,16.0%,44.09,44.09,40.30,,3.0%,1.70,6.08%,8.7%,—,—,—,—,0,0,—,—,$19.78B,Process Industries,NYSE
ALB,Albemarle Corporation,128.75,221.00,41.7%,134.91,134.91,109.73,68.62,4.6%,1.99,1.26%,-2.3%,—,—,—,—,0,0,—,—,$15.18B,Process Industries,NYSE
CNH,CNH Industrial NV,10.42,13.47,22.7%,10.77,10.77,9.28,,3.3%,1.66,0.96%,4.9%,—,—,—,—,0,0,—,—,$12.92B,Producer Manufacturing,NYSE
ICLR,ICON Plc,167.97,211.00,20.4%,206.75,206.75,158.79,89.04,18.8%,1.38,—,1.9%,—,—,—,—,0,0,—,—,$12.86B,Commercial Services,NASDAQ
RVTY,"Revvity, Inc.",111.21,118.30,6.0%,118.10,118.10,94.95,57.73,5.8%,1.73,0.25%,3.2%,10.3%,4.9,SELLING,$-4.7M,0,6,✅ 4/4,↑0 ↓0,$12.41B,Health Technology,NYSE
UHS,"Universal Health Services, Inc. Class B",144.23,246.32,41.4%,147.32,147.32,134.11,82.84,2.1%,1.17,0.55%,21.3%,—,—,—,—,0,0,—,—,$8.73B,Health Services,NYSE
REXR,"Rexford Industrial Realty, Inc.",35.51,44.38,20.0%,42.70,42.70,32.70,,16.8%,0.99,4.90%,2.7%,—,—,—,—,0,0,—,—,$8.02B,Finance,NYSE
RYN,Rayonier Inc.,21.72,27.34,20.5%,23.39,23.39,21.24,15.66,7.1%,1.23,4.79%,12.9%,4.0%,4.4,SELLING,$-3.7M,0,2,✅ 4/4,↑0 ↓0,$6.57B,Finance,NYSE
ICL,ICL Group Ltd.,5.01,7.08,29.2%,5.28,5.28,4.62,,5.1%,1.07,3.74%,4.4%,—,—,—,—,0,0,—,—,$6.47B,Process Industries,NYSE
PPLI,People Incorporated,45.30,48.32,6.3%,56.19,56.19,40.96,23.05,19.4%,0.74,—,2.4%,—,—,—,—,0,0,—,—,$3.37B,Technology Services,NASDAQ
AVNT,Avient Corporation,35.81,44.85,20.2%,35.94,35.94,33.33,20.64,0.4%,1.37,3.07%,6.7%,—,—,—,—,0,0,—,—,$3.28B,Process Industries,NYSE
ASH,Ashland Inc.,66.74,68.25,2.2%,74.05,74.05,65.73,42.45,9.9%,1.64,2.52%,-31.0%,—,—,—,—,0,0,—,—,$3.06B,Consumer Non-Durables,NYSE
FSK,FS KKR Capital Corp.,10.79,22.68,52.4%,11.25,11.25,10.51,,4.1%,0.57,15.57%,-9.3%,—,—,—,—,0,0,—,—,$3.02B,Miscellaneous,NYSE
FUL,H.B. Fuller Company,56.02,68.63,18.4%,59.12,59.12,51.93,35.04,5.3%,1.45,1.75%,9.4%,—,—,—,—,0,0,—,—,$3.01B,Process Industries,NYSE
KWR,Quaker Houghton,149.96,183.00,18.1%,167.46,167.46,144.75,84.03,10.5%,1.89,1.36%,0.3%,16.1%,10.5,SELLING,$-107K,0,1,🔴 1/4,↑1 ↓0,$2.60B,Process Industries,NYSE
CBZ,"CBIZ, Inc.",40.92,77.91,47.5%,44.76,44.76,32.35,19.23,8.6%,1.17,—,8.1%,—,—,—,—,0,0,—,—,$2.20B,Commercial Services,NYSE
IOSP,Innospec Inc.,81.64,92.14,11.4%,88.84,88.84,73.18,43.87,8.1%,1.50,2.19%,8.8%,2.8%,2.2,SELLING,$-902K,0,13,✅ 4/4,—,$2.01B,Process Industries,NASDAQ
