Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",74.34,87.29,14.8%,226.87,57.55,52.13,226.87,67.2%,0.96,—,7.2%,1.9%,2.9,SELLING,$-18.1M,0,1,✅ 4/4,↑0 ↓0,$38.87B,Finance,NYSE
PCG,PG&E Corporation,13.04,19.16,31.9%,26.83,14.12,27.28,26.83,51.4%,0.89,—,9.7%,0.0%,—,SELLING,$-4.8M,0,7,✅ 3/4,↑0 ↓0,$28.71B,Utilities,NYSE
FISV,"Fiserv, Inc.",46.84,130.85,64.2%,53.34,116.45,93.15,53.34,12.2%,0.92,—,10.7%,—,—,BUYING,$+2.2M,7,0,🔴 2/4,↑1 ↓0,$24.91B,Commercial Services,NASDAQ
VTRS,"Viatris, Inc.",17.16,18.39,6.7%,18.68,11.62,20.53,18.68,8.1%,1.39,—,-2.8%,3.4%,3.8,—,—,0,0,✅ 4/4,↑1 ↓0,$19.72B,Health Technology,NASDAQ
FIS,"Fidelity National Information Services, Inc.",35.09,69.14,49.2%,47.89,81.71,76.71,47.89,26.7%,1.13,—,22.3%,3.8%,2.7,BUYING,$+114K,2,0,🟡 2/4,↑2 ↓0,$18.10B,Technology Services,NYSE
TU,TELUS Corporation,8.68,15.85,45.2%,8.69,14.46,12.88,8.69,0.1%,1.46,—,-6.4%,—,8.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$13.79B,Communications,NYSE
BAX,Baxter International Inc.,23.77,30.00,20.8%,33.61,48.99,47.86,33.61,29.3%,1.98,—,-14.3%,7.1%,3.7,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$12.29B,Health Technology,NYSE
CSGP,"CoStar Group, Inc.",28.63,85.60,66.6%,29.29,71.14,52.93,29.29,2.2%,1.46,—,0.9%,4.7%,2.7,BUYING,$+4.8M,2,2,✅ 4/4,↑0 ↓0,$11.60B,Technology Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",54.30,86.74,37.4%,66.41,107.46,95.23,66.41,18.2%,0.60,—,-6.3%,5.9%,3.4,BUYING,$+209K,6,4,✅ 3/4,↑0 ↓0,$9.46B,Finance,NYSE
SIRI,SiriusXM Holdings Inc.,27.18,32.66,16.8%,30.74,39.73,39.67,30.74,11.6%,0.77,—,7.6%,15.8%,8.5,SELLING,$-1.2M,0,3,🔴 1/4,↑0 ↓0,$9.16B,Consumer Services,NASDAQ
