Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,107.54,117.09,8.2%,109.61,117.82,109.61,69.27,1.9%,1.69,—,7.8%,1.2%,2.2,SELLING,$-1.5M,0,3,✅ 4/4,↑1 ↓0,$185.69B,Consumer Services,NYSE
CMCSA,Comcast Corporation Class A,24.15,32.85,26.5%,30.26,33.85,30.26,19.05,20.2%,0.95,—,12.0%,2.6%,3.6,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$85.70B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,217.22,225.80,3.8%,263.07,232.35,263.07,174.09,17.4%,1.70,—,4.6%,4.3%,7.4,SELLING,$-240K,0,1,✅ 4/4,↑0 ↓0,$32.10B,Health Technology,NASDAQ
CHTR,"Charter Communications, Inc. Class A",138.59,285.82,51.5%,351.63,415.56,351.63,,60.6%,0.98,—,29.7%,33.6%,5.8,SELLING,$-9.0M,4,1,🔴 2/4,↑0 ↓0,$24.27B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,88.16,95.88,8.1%,102.63,121.74,102.63,60.25,14.1%,1.01,—,2.2%,7.3%,5.2,NEUTRAL,—,0,0,✅ 4/4,↑2 ↓0,$23.33B,Finance,NYSE
IFF,International Flavors & Fragrances Inc.,84.60,89.31,5.3%,96.09,93.74,96.09,64.14,12.0%,1.55,—,1.8%,8.7%,10.3,BUYING,$+19.0M,1,3,🔴 2/4,↑1 ↓0,$21.59B,Consumer Non-Durables,NYSE
BCE,BCE Inc.,22.53,26.52,15.0%,27.64,29.61,27.64,19.70,18.5%,1.45,—,30.6%,—,9.7,—,—,0,0,✅ 3/4,↑0 ↓0,$21.01B,Communications,NYSE
STLA,Stellantis N.V.,5.03,12.22,58.9%,9.58,11.63,9.58,,47.6%,0.23,—,—,4.9%,6.7,—,—,0,0,🟡 1/2,↑0 ↓0,$18.91B,Consumer Durables,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",97.27,106.88,9.0%,109.79,115.00,109.79,82.19,11.4%,1.47,—,6.4%,6.1%,4.1,SELLING,$-1.2M,0,3,✅ 4/4,↑1 ↓0,$18.55B,Health Technology,NYSE
TSN,"Tyson Foods, Inc. Class A",52.69,69.48,24.2%,53.83,58.96,53.83,33.17,2.1%,1.00,—,3.2%,3.1%,2.9,BUYING,$+1.0M,1,0,✅ 3/4,↑0 ↓0,$18.17B,Consumer Non-Durables,NYSE
FLUT,Flutter Entertainment Plc,97.73,287.44,66.0%,137.42,165.07,137.42,,28.9%,1.94,—,-8.0%,7.4%,2.9,SELLING,$-189K,7,18,✅ 3/4,↑3 ↓0,$16.96B,Consumer Services,NYSE
WY,Weyerhaeuser Company,22.18,27.75,20.1%,24.51,26.39,24.51,18.16,9.5%,1.69,—,5.0%,4.6%,5.2,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$15.98B,Finance,NYSE
TU,TELUS Corporation,8.96,16.04,44.1%,12.88,14.47,12.88,8.69,30.4%,1.51,—,-6.4%,—,8.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$14.25B,Communications,NYSE
MKC,"McCormick & Company, Incorporated",50.39,72.41,30.4%,60.02,71.99,60.02,37.18,16.0%,1.94,—,25.7%,—,—,BUYING,$+161K,2,0,✅ 3/4,↑0 ↓0,$13.58B,Consumer Non-Durables,NYSE
SWK,"Stanley Black & Decker, Inc.",89.65,104.68,14.4%,97.82,100.36,97.82,65.80,8.4%,1.51,—,6.9%,5.3%,4.0,SELLING,$-105K,0,1,✅ 4/4,↑0 ↓0,$13.54B,Consumer Durables,NYSE
ALB,Albemarle Corporation,111.33,221.00,49.6%,115.04,143.59,115.04,71.87,3.2%,1.63,—,2.2%,0.1%,0.0,SELLING,$-3.0M,0,1,✅ 3/4,↑0 ↓0,$13.14B,Process Industries,NYSE
CSGP,"CoStar Group, Inc.",31.01,89.80,65.5%,52.98,71.22,52.98,29.31,41.5%,1.58,—,0.9%,4.7%,2.7,BUYING,$+4.8M,2,2,✅ 4/4,↑0 ↓0,$12.57B,Technology Services,NASDAQ
BMRN,BioMarin Pharmaceutical Inc.,64.84,70.98,8.7%,84.26,79.13,84.26,53.78,23.0%,1.99,—,1.2%,5.1%,4.4,SELLING,$-1.3M,0,2,🔴 1/4,↑1 ↓0,$12.55B,Health Technology,NASDAQ
PSKY,Paramount Skydance Corporation Class B,11.16,20.86,46.5%,30.19,20.72,30.19,,63.0%,1.06,—,-4.4%,14.1%,6.7,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$12.53B,Consumer Services,NASDAQ
QXO,"QXO, Inc.",11.55,27.61,58.2%,23.63,28.50,23.63,,51.1%,0.90,—,-4.6%,11.5%,6.5,NEUTRAL,—,0,0,🟡 0/4,↑1 ↓0,$11.99B,Distribution Services,NYSE
HRL,Hormel Foods Corporation,20.86,26.60,21.6%,30.61,33.04,30.61,18.96,31.9%,1.46,—,4.3%,7.1%,4.2,SELLING,$-495K,0,1,✅ 4/4,↑0 ↓0,$11.48B,Consumer Non-Durables,NYSE
COO,"Cooper Companies, Inc.",54.72,89.83,39.1%,71.49,84.79,71.49,42.95,23.5%,1.25,—,6.8%,5.3%,5.0,BUYING,$+1.3M,3,0,✅ 3/3,↑1 ↓0,$10.41B,Health Technology,NASDAQ
BXP,BXP Inc,64.21,78.23,17.9%,75.59,69.96,75.59,57.31,15.1%,1.98,—,5.7%,9.3%,9.4,SELLING,$-2.2M,0,3,✅ 3/4,↑0 ↓0,$10.25B,Finance,NYSE
APTV,Aptiv PLC,44.06,78.49,43.9%,82.40,91.92,82.40,,46.5%,1.05,—,2.9%,7.0%,1.9,BUYING,$+8.2M,5,2,✅ 3/4,↑1 ↓0,$9.15B,Producer Manufacturing,NYSE
WLK,Westlake Corporation,70.67,124.23,43.1%,78.40,89.80,78.40,,9.9%,1.04,—,-12.9%,17.4%,5.5,SELLING,$-5.4M,0,3,🔴 2/4,↑1 ↓0,$9.03B,Process Industries,NYSE
KMX,"CarMax, Inc.",59.65,65.28,8.6%,73.79,81.54,73.79,48.08,19.2%,1.38,—,3.6%,9.0%,6.4,BUYING,$+1.3M,5,0,🔴 2/4,↑0 ↓0,$8.46B,Retail Trade,NYSE
MHK,"Mohawk Industries, Inc.",128.79,140.30,8.2%,153.87,127.07,153.87,113.93,16.3%,0.91,—,5.5%,11.2%,4.4,SELLING,$-24.5M,0,12,✅ 4/4,↑0 ↓0,$7.78B,Producer Manufacturing,NYSE
