Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,100.73,124.69,19.2%,109.42,118.97,109.42,68.64,7.9%,1.62,1.48%,10.5%,1.5%,2.9,SELLING,$-460K,1,2,✅ 4/4,↑0 ↓0,$174.92B,Consumer Services,NYSE
CMCSA,Comcast Corporation Class A,23.81,34.34,30.7%,30.30,34.21,30.30,19.01,21.4%,0.96,5.51%,21.5%,2.7%,2.6,SELLING,$-2.3M,0,3,✅ 4/4,↑1 ↓0,$85.05B,Consumer Services,NASDAQ
BDX,"Becton, Dickinson and Company",146.16,187.35,22.0%,149.38,169.52,149.38,93.73,2.2%,1.67,2.89%,5.7%,3.0%,2.1,SELLING,$-1.2M,0,10,✅ 4/4,↑0 ↓0,$40.27B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",336.68,575.77,41.5%,343.25,438.26,343.25,197.80,1.9%,1.83,1.09%,9.0%,4.8%,3.7,BUYING,$+502K,1,0,✅ 4/4,↑0 ↓0,$33.98B,Technology Services,NASDAQ
BIIB,Biogen Inc.,196.42,205.97,4.6%,264.72,231.76,264.72,172.42,25.8%,1.55,—,7.7%,3.6%,4.0,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$29.00B,Health Technology,NASDAQ
STLA,Stellantis N.V.,6.93,12.22,43.3%,9.44,11.53,9.44,,26.6%,0.29,—,—,2.9%,4.3,—,—,0,0,🟡 1/1,—,$26.08B,Consumer Durables,NYSE
CTSH,Cognizant Technology Solutions Corporation Class A,50.79,87.03,41.6%,61.86,65.55,61.86,39.26,17.9%,1.60,2.60%,14.9%,12.7%,6.9,SELLING,$-2.1M,1,14,✅ 4/4,↑2 ↓0,$24.07B,Technology Services,NASDAQ
BCE,BCE Inc.,23.98,26.52,9.6%,27.63,29.75,27.63,19.54,13.2%,1.55,5.19%,31.7%,—,7.0,—,—,0,0,✅ 3/4,—,$22.36B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,77.80,84.45,7.9%,95.68,94.27,95.68,63.37,18.7%,1.41,2.04%,6.1%,6.9%,5.8,BUYING,$+32.3M,3,0,✅ 3/4,↑1 ↓0,$19.86B,Consumer Non-Durables,NYSE
CHTR,"Charter Communications, Inc. Class A",142.72,422.29,66.2%,351.31,422.50,351.31,,59.4%,1.07,—,30.2%,44.3%,6.3,SELLING,$-9.0M,4,1,🔴 1/4,↑1 ↓0,$19.76B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,69.11,90.64,23.7%,101.62,123.12,101.62,59.50,32.0%,0.79,1.48%,2.6%,6.3%,4.0,BUYING,$+99K,1,0,✅ 4/4,↑1 ↓0,$18.90B,Finance,NYSE
TU,TELUS Corporation,11.85,16.73,29.2%,12.99,14.69,12.99,8.66,8.8%,1.65,9.23%,6.0%,—,14.3,NEUTRAL,—,0,0,🔴 1/4,—,$18.64B,Communications,NYSE
