Ticker,Company,Price,52W High,% Off 52W High,30Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
CNC,Centene Corporation,63.98,69.36,7.8%,64.03,64.03,54.32,,0.1%,1.40,—,-20.4%,3.1%,2.7,SELLING,$-12.1M,0,3,✅ 4/4,↑1 ↓0,$31.60B,Health Services,NYSE
EIX,Edison International,53.17,81.62,34.9%,54.93,54.93,50.86,35.15,3.2%,1.17,—,22.6%,4.5%,4.3,SELLING,$-75K,0,2,✅ 4/4,↑0 ↓0,$20.46B,Utilities,NYSE
LEN,Lennar Corporation Class A,84.97,144.24,41.1%,94.26,94.26,73.12,48.95,9.9%,0.95,—,7.2%,0.3%,0.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$20.43B,Consumer Durables,NYSE
RCI,Rogers Communications Inc. Class B,36.88,41.14,10.4%,37.24,37.24,34.86,25.03,1.0%,1.71,—,44.4%,—,11.9,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$20.02B,Communications,NYSE
TSN,"Tyson Foods, Inc. Class A",55.27,69.48,20.4%,59.26,59.26,53.94,33.11,6.7%,1.05,—,3.2%,2.7%,2.4,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$19.06B,Consumer Non-Durables,NYSE
ALB,Albemarle Corporation,134.83,221.00,39.0%,138.23,138.23,111.79,70.14,2.5%,1.98,—,2.2%,0.1%,0.0,SELLING,$-5.0M,0,2,✅ 3/4,↑0 ↓0,$15.91B,Process Industries,NYSE
ICLR,ICON Plc,164.70,203.91,19.2%,207.54,207.54,161.22,90.57,20.6%,1.35,—,0.4%,3.2%,2.8,SELLING,$-1.7M,0,9,✅ 3/4,↑0 ↓0,$12.71B,Commercial Services,NASDAQ
BIO,"Bio-Rad Laboratories, Inc. Class A",386.09,396.23,2.6%,422.05,422.05,330.15,205.17,8.5%,1.44,—,3.1%,0.0%,—,SELLING,$-136K,0,1,🔴 2/4,↑0 ↓0,$10.37B,Health Technology,NYSE
GME,GameStop Corp. Class A,18.47,28.10,34.3%,22.53,22.53,15.64,,18.0%,1.42,—,14.1%,13.2%,8.9,SELLING,$-828K,0,5,✅ 3/3,—,$8.29B,Retail Trade,NYSE
REXR,"Rexford Industrial Realty, Inc.",37.05,44.38,16.5%,42.75,42.75,32.73,,13.3%,1.12,—,-4.8%,4.7%,2.7,SELLING,$-2.0M,0,2,✅ 3/4,↑1 ↓0,$8.26B,Finance,NYSE
EMN,Eastman Chemical Company,72.22,83.47,13.5%,75.38,75.38,68.52,45.07,4.2%,1.35,—,7.4%,6.6%,4.7,SELLING,$-234K,0,1,✅ 3/4,↑0 ↓0,$8.26B,Process Industries,NYSE
BLDR,"Builders FirstSource, Inc.",66.85,151.03,55.7%,86.14,86.14,56.81,,22.4%,1.80,—,2.5%,8.1%,3.2,BUYING,$+4.0M,1,1,🔴 1/4,↑1 ↓0,$7.19B,Retail Trade,NYSE
DOX,Amdocs Limited,62.65,86.14,27.3%,71.34,71.34,62.10,42.13,12.2%,1.99,—,13.1%,11.9%,7.6,SELLING,$-29K,0,1,🟡 2/4,↑1 ↓0,$6.74B,Technology Services,NASDAQ
GNTX,Gentex Corporation,22.48,29.38,23.5%,26.79,26.79,22.40,14.57,16.1%,1.87,—,16.1%,7.5%,6.5,SELLING,$-631K,0,4,🟡 2/4,↑0 ↓0,$4.74B,Producer Manufacturing,NASDAQ
POST,"Post Holdings, Inc.",84.45,117.28,28.0%,84.90,84.90,69.89,,0.5%,1.21,—,8.3%,16.7%,6.4,SELLING,$-650K,0,1,✅ 4/4,↑0 ↓0,$3.71B,Consumer Non-Durables,NYSE
ASH,Ashland Inc.,73.92,78.25,5.5%,74.96,74.96,66.27,42.86,1.4%,1.81,—,4.0%,10.5%,5.4,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$3.39B,Consumer Non-Durables,NYSE
FUL,H.B. Fuller Company,55.25,68.63,19.5%,58.77,58.77,51.71,34.98,6.0%,1.43,—,9.4%,7.4%,4.3,SELLING,$-232K,2,1,✅ 4/4,↑0 ↓0,$2.97B,Process Industries,NYSE
PBH,Prestige Consumer Healthcare Inc,52.15,71.07,26.6%,56.30,56.30,50.78,,7.4%,1.29,—,9.1%,10.9%,7.7,SELLING,$-120K,0,4,🔴 1/4,—,$2.47B,Health Technology,NYSE
