Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,104.44,117.17,10.9%,109.53,117.70,109.53,69.23,4.7%,1.64,—,7.8%,1.1%,1.7,SELLING,$-1.5M,0,3,✅ 4/4,↑1 ↓0,$180.34B,Consumer Services,NYSE
CMCSA,Comcast Corporation Class A,26.04,32.85,20.7%,30.29,33.91,30.29,19.07,14.0%,1.03,—,12.0%,2.4%,2.4,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$92.41B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,211.12,225.80,6.5%,262.96,232.17,262.96,174.03,19.7%,1.65,—,4.6%,3.9%,4.3,SELLING,$-240K,0,1,✅ 4/4,↑0 ↓0,$31.19B,Health Technology,NASDAQ
CTSH,Cognizant Technology Solutions Corporation Class A,59.24,87.03,31.9%,62.29,66.01,62.29,39.84,4.9%,1.85,—,14.9%,7.9%,3.7,SELLING,$-817K,1,10,✅ 3/4,↑0 ↓0,$26.68B,Technology Services,NASDAQ
CHTR,"Charter Communications, Inc. Class A",143.02,285.82,50.0%,351.73,415.73,351.73,,59.3%,1.01,—,29.7%,51.6%,8.1,SELLING,$-9.0M,4,1,🔴 2/4,↑1 ↓0,$25.04B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,88.27,95.88,7.9%,102.90,122.06,102.90,60.41,14.2%,1.02,—,2.2%,6.7%,4.4,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$23.36B,Finance,NYSE
BCE,BCE Inc.,23.38,26.52,11.8%,28.02,30.03,28.02,19.98,16.6%,1.50,—,30.6%,—,—,—,—,0,0,✅ 3/4,↑0 ↓0,$21.80B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,84.67,89.31,5.2%,96.08,93.72,96.08,64.14,11.9%,1.55,—,1.8%,8.3%,8.9,BUYING,$+19.0M,1,3,🔴 2/4,↑0 ↓0,$21.60B,Consumer Non-Durables,NYSE
STLA,Stellantis N.V.,5.34,12.22,56.3%,9.59,11.64,9.59,,44.3%,0.24,—,—,4.5%,6.3,—,—,0,0,🟡 1/2,↑0 ↓0,$20.12B,Consumer Durables,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",94.97,106.88,11.1%,109.74,114.91,109.74,82.16,13.5%,1.43,—,6.4%,6.1%,3.3,SELLING,$-413K,0,1,✅ 4/4,↑1 ↓0,$18.11B,Health Technology,NYSE
TSN,"Tyson Foods, Inc. Class A",52.33,69.48,24.7%,53.82,58.93,53.82,33.17,2.8%,1.00,—,3.2%,2.7%,2.4,BUYING,$+1.0M,1,0,✅ 3/4,↑0 ↓0,$18.04B,Consumer Non-Durables,NYSE
FLUT,Flutter Entertainment Plc,98.89,292.31,66.2%,137.47,165.15,137.47,,28.1%,1.96,—,-8.0%,8.8%,3.6,NEUTRAL,—,0,0,✅ 3/4,↑4 ↓0,$17.16B,Consumer Services,NYSE
WY,Weyerhaeuser Company,22.61,27.75,18.5%,24.51,26.40,24.51,18.16,7.7%,1.72,—,5.0%,4.0%,4.5,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$16.30B,Finance,NYSE
TU,TELUS Corporation,9.53,16.12,40.9%,13.08,14.69,13.08,8.82,27.1%,1.61,—,-6.4%,—,7.9,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$15.14B,Communications,NYSE
GIB,CGI Inc. Class A,68.91,95.20,27.6%,70.96,86.17,70.96,41.92,2.9%,1.98,—,17.0%,—,12.7,NEUTRAL,—,0,0,✅ 4/4,—,$14.11B,Technology Services,NYSE
SWK,"Stanley Black & Decker, Inc.",93.14,104.68,11.0%,97.88,100.47,97.88,65.83,4.8%,1.57,—,6.9%,5.1%,3.3,SELLING,$-105K,0,1,✅ 4/4,↑0 ↓0,$14.07B,Consumer Durables,NYSE
MKC,"McCormick & Company, Incorporated",51.46,72.41,28.9%,60.04,72.02,60.04,37.19,14.3%,1.98,—,25.7%,—,—,BUYING,$+161K,2,0,✅ 3/4,↑0 ↓0,$13.85B,Consumer Non-Durables,NYSE
QXO,"QXO, Inc.",12.88,27.61,53.3%,23.66,28.54,23.66,,45.5%,1.00,—,-4.6%,8.8%,3.9,NEUTRAL,—,0,0,🟡 0/4,↑1 ↓0,$13.37B,Distribution Services,NYSE
COO,"Cooper Companies, Inc.",67.07,89.83,25.3%,71.74,85.21,71.74,43.07,6.5%,1.59,—,2.9%,4.5%,4.0,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$13.08B,Health Technology,NASDAQ
BMRN,BioMarin Pharmaceutical Inc.,64.61,70.98,9.0%,84.26,79.14,84.26,53.78,23.3%,1.98,—,1.2%,5.3%,4.8,SELLING,$-1.3M,0,2,🔴 1/4,↑1 ↓0,$12.51B,Health Technology,NASDAQ
