Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
SPGI,"S&P Global, Inc.",405.44,0.3%,404.24,372.92,272.60,3.79,—,15.2%,2.4%,3.9,BUYING,$+2.6M,3,0,🔴 2/4,↑0 ↓0,$119.52B,Commercial Services,NYSE
CNI,Canadian National Railway Company,118.45,9.9%,107.75,101.70,85.09,4.65,—,22.0%,—,5.7,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$71.68B,Transportation,NYSE
HUM,Humana Inc.,383.56,4.7%,366.28,364.45,300.95,2.40,—,6.8%,2.9%,2.8,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$46.06B,Health Services,NYSE
EXC,Exelon Corporation,42.41,8.3%,39.15,34.52,28.35,1.47,—,9.7%,3.5%,5.2,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$43.78B,Utilities,NASDAQ
WCN,"Waste Connections, Inc.",156.41,1.3%,154.36,136.38,102.49,4.98,—,13.0%,1.8%,3.5,BUYING,$+3.3M,1,11,✅ 4/4,↑0 ↓0,$39.42B,Industrial Services,NYSE
MLM,"Martin Marietta Materials, Inc.",490.60,0.1%,490.35,419.96,320.57,2.55,—,8.9%,4.3%,4.7,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$34.84B,Non-Energy Minerals,NYSE
AWK,"American Water Works Company, Inc.",136.82,3.0%,132.77,129.26,101.51,2.33,—,10.1%,7.5%,5.2,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$27.19B,Utilities,NYSE
MKL,Markel Group Inc.,1788.02,9.7%,1630.39,1460.19,1255.80,1.17,—,12.6%,2.1%,4.0,BUYING,$+231K,2,1,🔴 2/4,—,$22.15B,Finance,NYSE
RBA,"RB Global, Inc.",84.44,7.6%,78.45,68.63,51.58,2.81,—,8.0%,10.5%,6.5,BUYING,$+152K,3,2,✅ 3/4,↑0 ↓0,$15.63B,Technology Services,NYSE
TXT,Textron Inc.,81.58,3.6%,78.76,69.38,60.63,1.74,—,12.1%,5.1%,5.3,BUYING,$+754K,1,1,✅ 4/4,↑0 ↓0,$14.03B,Electronic Technology,NYSE
MAS,Masco Corporation,68.47,9.2%,62.71,57.66,45.71,,—,—,4.9%,4.1,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$13.50B,Producer Manufacturing,NYSE
JEF,Jefferies Financial Group Inc.,47.74,7.8%,44.28,36.20,27.76,0.92,—,8.0%,4.2%,3.8,BUYING,$+995.3M,3,1,🔴 2/4,↑0 ↓0,$11.01B,Finance,NYSE
TTEK,"Tetra Tech, Inc.",36.12,9.1%,33.11,29.31,20.72,4.99,—,24.3%,4.7%,4.0,BUYING,$+50K,1,0,✅ 4/4,↑0 ↓0,$9.25B,Industrial Services,NASDAQ
ADC,Agree Realty Corporation,68.12,6.9%,63.75,60.48,48.55,1.34,—,3.7%,0.0%,—,BUYING,$+3.6M,6,0,🟡 2/4,↑0 ↓0,$8.47B,Finance,NYSE
NNN,"NNN REIT, Inc.",41.85,8.6%,38.53,36.64,32.66,1.80,—,8.7%,5.6%,6.3,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$8.03B,Finance,NYSE
GBCI,"Glacier Bancorp, Inc.",45.11,7.1%,42.11,40.86,34.55,1.36,—,7.9%,7.6%,9.2,BUYING,$+106K,1,0,🟡 1/4,↑0 ↓0,$5.87B,Finance,NYSE
HRB,"H&R Block, Inc.",45.46,9.9%,41.35,33.25,27.57,48.05,—,707.5%,22.2%,6.8,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$5.60B,Consumer Services,NYSE
RLI,RLI Corp.,60.28,0.7%,59.88,52.44,40.13,3.16,—,25.2%,10.4%,13.4,BUYING,$+1.1M,7,0,✅ 4/4,↑0 ↓0,$5.53B,Finance,NYSE
HRI,"Herc Holdings, Inc.",143.48,6.5%,134.75,111.45,84.84,2.54,—,2.6%,8.7%,5.9,BUYING,$+503K,1,0,✅ 3/4,↑1 ↓0,$4.80B,Finance,NYSE
LRN,"Stride, Inc.",81.54,8.0%,75.49,59.34,42.36,2.07,—,21.7%,25.9%,7.5,NEUTRAL,—,0,0,✅ 4/4,—,$3.39B,Consumer Services,NYSE
