Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,96.25,124.61,22.8%,107.13,115.31,107.13,67.50,10.2%,1.55,1.56%,10.5%,1.4%,2.9,SELLING,$-183K,1,1,✅ 4/4,↑0 ↓0,$167.14B,Consumer Services,NYSE
PFE,Pfizer Inc.,24.08,28.75,16.2%,25.64,28.47,25.64,18.28,6.1%,1.52,7.14%,8.3%,2.8%,4.7,SELLING,$-51K,0,1,✅ 4/4,↑1 ↓0,$137.24B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,24.55,34.10,28.0%,29.93,33.74,29.93,18.86,18.0%,0.99,5.38%,21.5%,2.8%,2.9,SELLING,$-2.3M,0,3,✅ 4/4,↑1 ↓0,$87.70B,Consumer Services,NASDAQ
ROP,"Roper Technologies, Inc.",338.39,575.77,41.2%,342.53,436.55,342.53,197.97,1.2%,1.84,1.08%,9.0%,5.6%,4.7,BUYING,$+502K,1,0,✅ 4/4,↑0 ↓0,$34.15B,Technology Services,NASDAQ
BIIB,Biogen Inc.,216.06,219.72,1.7%,263.73,234.88,263.73,172.05,18.1%,1.71,—,7.7%,3.9%,5.2,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$31.90B,Health Technology,NASDAQ
STLA,Stellantis N.V.,5.74,12.22,53.0%,9.42,11.50,9.42,,39.1%,0.24,—,—,2.7%,4.2,—,—,0,0,🟡 1/1,—,$21.60B,Consumer Durables,NYSE
IFF,International Flavors & Fragrances Inc.,79.22,84.45,6.2%,94.41,92.32,94.41,62.90,16.1%,1.43,2.02%,6.1%,8.1%,7.0,BUYING,$+32.3M,3,0,✅ 3/4,↑1 ↓0,$20.23B,Consumer Non-Durables,NYSE
BCE,BCE Inc.,21.51,26.52,18.9%,27.27,29.20,27.27,19.45,21.1%,1.39,5.80%,31.7%,—,6.6,—,—,0,0,✅ 3/4,—,$20.06B,Communications,NYSE
GPN,Global Payments Inc.,72.56,90.64,19.9%,102.49,121.37,102.49,60.20,29.2%,0.83,1.38%,2.6%,8.2%,4.6,BUYING,$+99K,1,0,✅ 4/4,↑1 ↓0,$19.85B,Finance,NYSE
CHTR,"Charter Communications, Inc. Class A",142.21,422.29,66.3%,351.72,415.73,351.72,,59.6%,1.07,—,30.2%,46.2%,7.4,SELLING,$-9.0M,4,1,🔴 1/4,↑1 ↓0,$19.70B,Consumer Services,NASDAQ
GIS,"General Mills, Inc.",34.80,54.18,35.8%,46.82,52.75,46.82,32.10,25.7%,1.99,7.01%,23.7%,12.8%,5.2,SELLING,$-958K,0,2,✅ 3/4,↑1 ↓0,$18.57B,Consumer Non-Durables,NYSE
FLUT,Flutter Entertainment Plc,102.17,313.69,67.4%,137.51,165.22,137.51,,25.7%,1.97,—,-4.0%,10.3%,5.2,SELLING,$-1.4M,7,15,✅ 4/4,↑2 ↓0,$17.77B,Consumer Services,NYSE
RCI,Rogers Communications Inc. Class B,32.50,41.14,21.0%,34.47,36.79,34.47,24.78,5.7%,1.36,4.33%,49.3%,—,12.5,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$17.68B,Communications,NYSE
WY,Weyerhaeuser Company,23.94,27.75,13.7%,24.54,26.33,24.54,18.17,2.4%,1.83,3.51%,4.2%,3.9%,4.4,BUYING,$+327K,2,1,✅ 4/4,↑0 ↓0,$17.26B,Finance,NYSE
LYB,LyondellBasell Industries NV,52.65,83.94,37.3%,59.29,63.57,59.29,,11.2%,1.69,5.24%,-6.1%,5.4%,2.7,SELLING,$-27.0M,0,2,🔴 2/4,↑0 ↓0,$16.99B,Process Industries,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",86.09,108.29,20.5%,109.36,114.42,109.36,81.96,21.3%,1.31,1.12%,6.1%,7.9%,5.5,SELLING,$-761K,0,3,✅ 4/4,↑1 ↓0,$16.66B,Health Technology,NYSE
TU,TELUS Corporation,10.57,16.73,36.8%,12.96,14.64,12.96,8.65,18.4%,1.47,10.30%,6.0%,—,13.1,NEUTRAL,—,0,0,🔴 1/4,—,$16.64B,Communications,NYSE
SWK,"Stanley Black & Decker, Inc.",94.12,95.01,0.9%,97.15,100.15,97.15,65.24,3.1%,1.63,3.53%,4.2%,5.8%,5.5,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$14.63B,Consumer Durables,NYSE
HRL,Hormel Foods Corporation,24.82,31.86,22.1%,30.93,33.67,30.93,19.05,19.8%,1.72,4.71%,5.8%,7.3%,3.1,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$13.66B,Consumer Non-Durables,NYSE
MKC,"McCormick & Company, Incorporated",50.42,77.42,34.9%,59.82,72.17,59.82,37.00,15.7%,1.94,3.81%,25.7%,—,—,BUYING,$+106K,1,0,✅ 3/4,↑1 ↓0,$13.56B,Consumer Non-Durables,NYSE
GIB,CGI Inc. Class A,64.57,106.45,39.3%,70.99,86.18,70.99,41.95,9.0%,1.89,0.74%,16.6%,—,13.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$13.51B,Technology Services,NYSE
APTV,Aptiv PLC,61.38,78.49,21.8%,82.56,93.40,82.56,,25.7%,1.41,—,4.0%,6.3%,2.4,SELLING,$-438K,1,3,✅ 3/4,↑0 ↓0,$12.99B,Producer Manufacturing,NYSE
QXO,"QXO, Inc.",17.28,27.61,37.4%,23.38,28.11,23.38,,26.1%,1.35,—,-6.8%,21.9%,7.9,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$12.53B,Distribution Services,NYSE
