Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
HUM,Humana Inc.,400.00,9.3%,365.80,359.47,294.50,2.58,0.89%,6.2%,4.1%,2.8,BUYING,$+150K,1,0,✅ 4/4,↑0 ↓0,$48.02B,Health Services,NYSE
AVB,"AvalonBay Communities, Inc.",192.53,5.8%,181.93,171.64,153.45,2.33,3.70%,9.7%,2.9%,2.4,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$27.35B,Finance,NYSE
AWK,"American Water Works Company, Inc.",135.11,1.2%,133.54,130.04,102.14,2.39,2.65%,10.2%,7.3%,4.6,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$26.38B,Utilities,NYSE
IP,International Paper Company,37.56,0.1%,37.51,36.21,33.93,1.34,4.93%,-16.0%,18.7%,8.5,BUYING,$+4.3M,4,0,🔴 0/4,↑0 ↓0,$19.89B,Process Industries,NYSE
RPM,RPM International Inc.,105.08,6.4%,98.74,88.87,70.30,4.27,2.06%,22.8%,3.7%,4.9,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$13.41B,Process Industries,NYSE
AA,Alcoa Corporation,43.98,3.3%,42.59,35.86,34.16,,0.91%,19.2%,3.2%,1.4,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$11.61B,Non-Energy Minerals,NYSE
WTRG,"Essential Utilities, Inc.",39.69,4.6%,37.95,37.68,32.33,1.63,3.45%,8.3%,1.9%,2.2,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$11.26B,Utilities,NYSE
MTDR,Matador Resources Company,53.80,5.5%,50.97,38.95,32.67,1.20,2.79%,8.9%,11.0%,7.0,BUYING,$+720K,12,0,✅ 4/4,↑0 ↓0,$6.68B,Energy Minerals,NYSE
EXP,Eagle Materials Inc.,205.93,7.8%,190.99,159.58,128.81,4.36,0.49%,28.9%,8.3%,4.1,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$6.36B,Non-Energy Minerals,NYSE
RLI,RLI Corp.,61.57,3.9%,59.25,51.84,39.57,3.15,1.17%,23.2%,8.9%,6.9,BUYING,$+1.5M,9,0,✅ 4/4,↑0 ↓0,$5.66B,Finance,NYSE
HRB,"H&R Block, Inc.",42.08,4.8%,40.15,32.33,27.03,,3.99%,—,24.2%,8.4,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$5.33B,Consumer Services,NYSE
FFIN,First Financial Bankshares Inc,35.32,6.7%,33.12,32.81,26.46,2.53,2.49%,14.4%,8.1%,7.3,BUYING,$+912K,14,0,🟡 2/4,↑1 ↓0,$5.06B,Finance,NASDAQ
HRI,"Herc Holdings, Inc.",149.47,9.4%,136.57,108.67,83.95,2.63,1.87%,-0.3%,7.4%,2.9,BUYING,$+427K,1,0,✅ 3/4,↑1 ↓0,$4.99B,Finance,NYSE
SLGN,Silgan Holdings Inc.,47.18,6.0%,44.52,40.25,33.42,2.15,1.78%,12.9%,10.1%,9.4,NEUTRAL,—,0,0,🟡 2/4,↑1 ↓0,$4.99B,Process Industries,NYSE
ABG,"Asbury Automotive Group, Inc.",220.36,1.8%,216.43,184.72,137.79,1.04,—,14.5%,10.9%,4.8,BUYING,$+1.2M,3,0,🟡 2/4,↑1 ↓0,$4.10B,Retail Trade,NYSE
LOPE,"Grand Canyon Education, Inc.",140.44,5.4%,133.31,119.99,98.06,5.39,—,29.8%,6.5%,4.1,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$3.72B,Commercial Services,NASDAQ
MGEE,"MGE Energy, Inc.",81.05,6.3%,76.24,71.77,60.92,2.21,2.34%,10.9%,6.3%,5.0,BUYING,$+29K,1,0,🟡 2/4,↑0 ↓0,$3.06B,Utilities,NASDAQ
CXT,"Crane NXT, Co.",51.27,7.6%,47.64,39.90,32.28,2.38,1.40%,11.1%,20.0%,6.0,BUYING,$+1.2M,6,1,✅ 4/4,—,$2.95B,Producer Manufacturing,NYSE
TGLS,Tecnoglass Inc,46.48,2.6%,45.29,32.76,22.91,2.80,1.29%,21.0%,9.4%,5.6,BUYING,$+27.0M,4,0,🔴 2/4,—,$2.16B,Producer Manufacturing,NYSE
