Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
KKR,KKR & Co Inc,94.34,8.9%,86.65,68.51,47.67,3.00,0.82%,10.2%,2.3%,3.3,BUYING,$+50.9M,8,0,✅ 3/4,↑0 ↓0,$84.71B,Finance,NYSE
PSA,Public Storage,299.04,8.4%,275.88,245.96,204.59,10.77,4.06%,20.3%,5.1%,6.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$52.50B,Finance,NYSE
A,"Agilent Technologies, Inc.",136.01,4.7%,129.93,118.21,89.94,5.39,0.75%,21.3%,2.2%,2.7,NEUTRAL,—,0,0,🟡 1/4,↑1 ↓0,$38.44B,Health Technology,NYSE
SYY,Sysco Corporation,73.42,1.0%,72.69,68.81,57.23,15.28,2.98%,82.3%,3.3%,3.1,BUYING,$+314K,1,2,✅ 3/4,↑0 ↓0,$35.11B,Distribution Services,NYSE
AVB,"AvalonBay Communities, Inc.",183.31,1.1%,181.34,172.75,153.42,2.22,3.89%,9.7%,3.9%,3.9,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$25.50B,Finance,NYSE
J,Jacobs Solutions Inc.,120.57,4.2%,115.72,103.96,79.20,4.33,1.17%,11.5%,6.3%,4.8,BUYING,$+285K,3,1,✅ 4/4,↑0 ↓0,$14.24B,Technology Services,NYSE
WSO,"Watsco, Inc.",356.71,1.3%,352.10,294.14,217.66,4.73,3.67%,17.0%,0.0%,—,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$12.49B,Producer Manufacturing,NYSE
STN,Stantec Inc,75.88,4.3%,72.77,58.58,44.60,3.57,0.94%,15.3%,—,4.4,NEUTRAL,—,0,0,🟡 2/4,—,$8.66B,Industrial Services,NYSE
CAE,CAE Inc.,25.70,7.2%,23.97,23.65,19.80,2.17,—,6.1%,—,4.2,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$8.27B,Commercial Services,NYSE
MIDD,Middleby Corporation,156.52,5.6%,148.18,140.90,130.11,3.07,—,-7.7%,6.7%,3.4,BUYING,$+15.1M,2,0,✅ 4/4,↑0 ↓0,$7.08B,Producer Manufacturing,NASDAQ
MTDR,Matador Resources Company,55.81,9.6%,50.90,38.90,32.64,1.24,2.68%,8.9%,8.9%,6.4,BUYING,$+310K,4,0,✅ 4/4,↑1 ↓0,$6.93B,Energy Minerals,NYSE
BCPC,Balchem Corp,158.87,6.1%,149.75,134.26,108.54,3.97,0.61%,12.7%,1.6%,1.7,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$5.10B,Consumer Non-Durables,NASDAQ
SLM,SLM Corp,22.01,8.1%,20.37,17.05,13.58,1.90,2.36%,30.9%,13.9%,6.9,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$4.15B,Finance,NASDAQ
GPI,"Group 1 Automotive, Inc.",309.18,8.3%,285.53,221.69,158.96,1.30,0.71%,11.1%,11.2%,6.0,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$3.68B,Retail Trade,NYSE
HTO,H2O America,57.14,1.2%,56.43,56.21,47.95,1.30,3.09%,6.5%,15.2%,8.2,BUYING,$+6.0M,2,0,🟡 2/4,↑3 ↓0,$2.39B,Utilities,NASDAQ
CENT,Central Garden & Pet Company,38.30,5.7%,36.22,33.85,27.82,1.45,—,10.7%,6.4%,6.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.18B,Consumer Non-Durables,NASDAQ
