Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
HUM,Humana Inc.,373.23,2.1%,365.73,364.08,300.73,2.33,—,6.8%,2.9%,2.8,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$44.82B,Health Services,NYSE
EXC,Exelon Corporation,42.00,7.3%,39.13,34.51,28.34,1.46,—,9.7%,3.5%,5.2,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$43.35B,Utilities,NASDAQ
WCN,"Waste Connections, Inc.",155.47,0.8%,154.29,136.33,102.47,4.95,—,13.0%,1.8%,3.5,BUYING,$+3.3M,1,11,✅ 4/4,↑0 ↓0,$39.19B,Industrial Services,NYSE
MLM,"Martin Marietta Materials, Inc.",496.28,1.2%,490.48,420.05,320.62,2.58,—,8.9%,4.3%,4.7,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$35.25B,Non-Energy Minerals,NYSE
AWK,"American Water Works Company, Inc.",134.09,1.1%,132.64,129.18,101.46,2.28,—,10.1%,7.5%,5.2,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$26.65B,Utilities,NYSE
MKL,Markel Group Inc.,1749.05,7.4%,1628.46,1458.90,1255.03,1.14,—,12.6%,2.1%,4.0,BUYING,$+231K,2,1,🔴 2/4,—,$21.67B,Finance,NYSE
RBA,"RB Global, Inc.",83.98,7.0%,78.46,68.64,51.59,2.80,—,8.0%,10.5%,6.5,BUYING,$+152K,3,2,✅ 3/4,↑0 ↓0,$15.55B,Technology Services,NYSE
TXT,Textron Inc.,78.80,0.2%,78.65,69.30,60.58,1.68,—,12.1%,5.1%,5.3,BUYING,$+754K,1,1,✅ 4/4,↑0 ↓0,$13.55B,Electronic Technology,NYSE
MAS,Masco Corporation,68.72,9.5%,62.73,57.67,45.72,,—,—,4.9%,4.1,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$13.55B,Producer Manufacturing,NYSE
CSL,Carlisle Companies Incorporated,327.68,2.3%,320.31,263.97,195.38,8.06,—,39.4%,7.3%,3.9,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$13.01B,Producer Manufacturing,NYSE
