Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
ZG,"Zillow Group, Inc. Class A",34.14,90.22,62.2%,50.93,59.99,50.93,,33.0%,1.78,—,1.2%,19.3%,3.1,—,—,0,0,✅ 3/4,↑0 ↓0,$7.54B,Technology Services,NASDAQ
VNO,Vornado Realty Trust,35.14,42.50,17.3%,40.49,32.60,40.49,34.63,13.2%,1.42,—,1.1%,0.0%,0.0,SELLING,$-4.9M,0,1,✅ 3/4,↑0 ↓0,$6.56B,Finance,NYSE
EPAM,"EPAM Systems, Inc.",125.44,222.53,43.6%,198.42,272.21,198.42,,36.8%,1.84,—,11.2%,20.4%,4.7,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$6.47B,Technology Services,NYSE
LKQ,LKQ Corporation,24.08,37.13,35.1%,32.46,36.23,32.46,,25.8%,0.95,—,7.2%,8.1%,4.4,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$6.09B,Consumer Durables,NASDAQ
RYN,Rayonier Inc.,20.18,27.06,25.4%,21.30,23.52,21.30,15.77,5.3%,1.16,—,2.0%,4.4%,4.0,SELLING,$-169K,0,2,✅ 3/4,↑0 ↓0,$6.04B,Finance,NYSE
OTEX,Open Text Corporation,23.91,39.90,40.1%,29.00,32.46,29.00,17.75,17.6%,1.44,—,16.1%,7.1%,9.8,—,—,0,0,✅ 4/4,↑0 ↓0,$5.79B,Technology Services,NASDAQ
CE,Celanese Corporation,45.02,70.70,36.3%,87.81,100.76,87.81,,48.7%,1.19,—,-24.6%,9.3%,3.8,BUYING,$+230K,3,0,🔴 2/4,↑1 ↓0,$4.94B,Process Industries,NYSE
GNTX,Gentex Corporation,22.54,29.38,23.3%,22.62,27.01,22.62,14.64,0.4%,1.87,—,16.1%,8.1%,7.3,SELLING,$-631K,0,4,🟡 2/4,↑0 ↓0,$4.75B,Producer Manufacturing,NASDAQ
ALK,"Alaska Air Group, Inc.",40.53,60.63,33.2%,56.02,49.57,56.02,33.55,27.7%,1.23,—,-4.6%,11.4%,4.9,BUYING,$+738K,1,1,🔴 2/4,↑0 ↓0,$4.52B,Transportation,NYSE
KRC,Kilroy Realty Corporation,34.91,45.03,22.5%,42.15,39.70,42.15,31.67,17.2%,0.78,—,3.2%,11.0%,9.1,SELLING,$-2.4M,0,6,✅ 3/4,↑0 ↓0,$4.10B,Finance,NYSE
AQN,Algonquin Power & Utilities Corp.,5.32,7.11,25.2%,7.15,8.00,7.15,,25.7%,0.95,—,4.2%,—,4.5,NEUTRAL,—,0,0,✅ 4/4,—,$4.09B,Utilities,NYSE
ICUI,"ICU Medical, Inc.",157.21,192.85,18.5%,165.31,166.95,165.31,102.53,4.9%,1.83,—,1.4%,6.9%,4.7,SELLING,$-7.5M,0,10,✅ 4/4,↑0 ↓0,$3.93B,Health Technology,NASDAQ
THO,"Thor Industries, Inc.",73.86,122.83,39.9%,78.75,86.88,78.75,50.07,6.2%,0.89,—,6.1%,13.1%,9.4,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$3.84B,Consumer Durables,NYSE
HHH,Howard Hughes Holdings Inc.,61.49,91.07,32.5%,93.72,77.58,93.72,,34.4%,0.93,—,6.8%,11.3%,8.1,SELLING,$-1.1M,0,3,✅ 3/4,↑0 ↓0,$3.67B,Finance,NYSE
LBTYK,Liberty Global Ltd. Class C,10.43,13.12,20.5%,13.70,11.58,13.70,,23.9%,0.39,—,-27.3%,8.5%,7.8,SELLING,$-2.0M,0,5,—,—,$3.65B,Communications,NASDAQ
LBTYA,Liberty Global Ltd. Class A,10.65,13.52,21.2%,13.75,11.37,13.75,,22.5%,0.39,—,-27.3%,8.2%,5.4,SELLING,$-2.7M,0,4,🔴 2/4,↑0 ↓0,$3.61B,Communications,NASDAQ
MCHB,Mechanics Bancorp. Class A,15.54,17.38,10.6%,19.27,19.56,19.27,,19.4%,1.34,—,18.2%,9.7%,8.5,SELLING,$-30,0,1,🔴 2/4,↑0 ↓0,$3.60B,Finance,NASDAQ
LBTYB,Liberty Global Ltd. Class B,12.65,29.01,56.4%,25.17,19.15,25.17,,49.7%,0.47,—,-27.3%,0.1%,0.7,—,—,0,0,—,—,$3.55B,Communications,NASDAQ
IPGP,IPG Photonics Corporation,76.64,155.82,50.8%,123.09,118.29,123.09,,37.7%,1.53,—,1.3%,21.6%,5.6,SELLING,$-21.6M,1,11,✅ 3/4,↑0 ↓0,$3.26B,Electronic Technology,NASDAQ
MMS,"MAXIMUS, Inc.",59.25,100.00,40.8%,64.50,71.84,64.50,38.70,8.1%,1.78,—,21.1%,11.0%,5.3,—,—,0,0,✅ 3/4,—,$3.10B,Commercial Services,NYSE
DBRG,"DigitalBridge Group, Inc. Class A",15.93,15.98,0.3%,24.43,16.69,24.43,,34.8%,1.92,—,15.9%,6.6%,3.1,NEUTRAL,—,0,0,🔴 2/4,—,$3.03B,Finance,NYSE
COLM,Columbia Sportswear Company,57.09,69.06,17.3%,68.32,75.26,68.32,44.06,16.4%,1.82,—,12.7%,17.1%,5.6,SELLING,$-907K,0,4,✅ 3/4,↑0 ↓0,$2.92B,Consumer Non-Durables,NASDAQ
