Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",79.17,87.29,9.3%,230.84,56.53,51.51,230.84,65.7%,1.04,2.53%,7.7%,2.1%,2.0,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$41.98B,Finance,NYSE
PCG,PG&E Corporation,17.17,19.16,10.4%,27.03,14.25,27.86,27.03,36.5%,1.19,1.16%,9.2%,0.0%,—,SELLING,$-4.9M,0,9,🟡 2/4,↑1 ↓0,$37.81B,Utilities,NYSE
FISV,"Fiserv, Inc.",50.45,168.93,70.1%,52.46,115.56,91.63,52.46,3.8%,1.03,—,12.3%,—,—,BUYING,$+1.7M,6,0,✅ 3/4,↑2 ↓0,$26.90B,Commercial Services,NASDAQ
FIS,"Fidelity National Information Services, Inc.",41.98,82.62,49.2%,48.21,84.96,77.78,48.21,12.9%,1.36,4.19%,17.2%,4.3%,2.9,BUYING,$+1.1M,3,0,🟡 2/4,↑1 ↓0,$21.70B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.27,17.53,7.2%,18.58,11.40,20.71,18.58,12.4%,1.29,2.95%,-2.0%,4.1%,4.8,—,—,0,0,✅ 4/4,↑0 ↓0,$19.10B,Health Technology,NASDAQ
CDE,"Coeur Mining, Inc.",15.98,27.77,42.5%,17.71,7.44,7.16,17.71,9.8%,1.59,0.25%,12.1%,5.4%,1.1,SELLING,$-715K,1,1,🟡 2/4,↑0 ↓0,$16.47B,Non-Energy Minerals,NYSE
APA,APA Corporation,33.44,45.66,26.8%,42.52,24.83,31.58,42.52,21.3%,1.83,2.99%,25.8%,11.7%,5.5,SELLING,$-833K,0,1,✅ 4/4,↑0 ↓0,$11.82B,Energy Minerals,NASDAQ
BAX,Baxter International Inc.,22.62,29.35,22.9%,33.68,50.07,48.03,33.68,32.8%,1.93,0.18%,-14.9%,11.8%,5.5,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$11.68B,Health Technology,NYSE
CSGP,"CoStar Group, Inc.",28.39,97.43,70.9%,29.29,71.16,52.94,29.29,3.1%,1.46,—,0.3%,3.8%,2.0,BUYING,$+6.0M,5,0,✅ 4/4,↑1 ↓0,$11.59B,Technology Services,NASDAQ
SIRI,SiriusXM Holdings Inc.,30.42,31.42,3.2%,31.32,40.70,40.05,31.32,2.9%,0.87,3.50%,7.4%,18.1%,5.6,SELLING,$-740K,0,2,🔴 1/4,↑0 ↓0,$10.24B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",47.88,88.24,45.7%,66.00,109.11,95.02,66.00,27.5%,0.52,6.02%,-6.4%,6.0%,3.5,BUYING,$+2.2M,5,3,🔴 2/4,↑0 ↓0,$8.34B,Finance,NYSE
TAP,Molson Coors Beverage Company Class B,39.17,54.82,28.5%,39.43,45.70,52.47,39.43,0.6%,0.69,4.90%,-18.2%,25.3%,8.0,BUYING,$+45K,2,1,✅ 3/4,↑0 ↓0,$7.38B,Consumer Non-Durables,NYSE
MOS,Mosaic Company,21.51,37.53,42.7%,28.60,28.52,27.64,28.60,24.8%,0.58,4.09%,0.4%,12.4%,2.9,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$6.84B,Process Industries,NYSE
NOV,NOV Inc.,18.89,21.55,12.3%,27.24,15.59,24.16,27.24,30.7%,1.10,1.75%,1.4%,16.1%,6.9,—,—,0,0,🔴 0/4,↑0 ↓0,$6.78B,Industrial Services,NYSE
MHK,"Mohawk Industries, Inc.",109.97,143.13,23.2%,111.47,123.81,150.62,111.47,1.3%,0.80,—,5.1%,13.1%,5.5,SELLING,$-7.8M,0,12,✅ 4/4,↑0 ↓0,$6.70B,Producer Manufacturing,NYSE
SM,SM Energy Company,27.81,35.88,22.5%,29.59,24.34,26.17,29.59,6.0%,0.97,3.16%,2.3%,6.5%,3.4,SELLING,$-834K,0,1,✅ 3/4,↑0 ↓0,$6.67B,Energy Minerals,NYSE
CAG,"Conagra Brands, Inc.",13.83,20.32,31.9%,16.82,24.14,23.49,16.82,17.8%,0.81,10.12%,-0.5%,15.1%,2.4,BUYING,$+250K,1,0,🔴 2/4,↑1 ↓0,$6.62B,Consumer Non-Durables,NYSE
CPB,Campbell's Company,22.07,34.17,35.4%,26.94,36.09,35.39,26.94,18.1%,1.63,7.07%,15.4%,30.0%,3.7,BUYING,$+6K,1,0,✅ 3/4,↑2 ↓0,$6.58B,Consumer Non-Durables,NASDAQ
FLG,"Flagstar Bank, National Association",15.09,15.37,1.8%,20.92,21.30,23.58,20.92,27.9%,0.83,0.27%,-0.7%,0.0%,0.0,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$6.29B,Finance,NYSE
RIG,Transocean Ltd.,5.20,7.66,32.1%,30.16,4.36,8.30,30.16,82.8%,0.70,—,-30.1%,22.1%,6.7,SELLING,$-1.3M,1,3,🔴 2/4,↑0 ↓0,$5.81B,Industrial Services,NYSE
CLF,Cleveland-Cliffs Inc,9.40,16.70,43.7%,19.22,13.87,11.04,19.22,51.1%,0.92,—,-20.0%,14.5%,4.1,SELLING,$-42.0M,1,3,✅ 3/4,↑1 ↓0,$5.36B,Non-Energy Minerals,NYSE
MAT,"Mattel, Inc.",13.33,22.48,40.7%,17.70,17.15,18.95,17.70,24.7%,1.84,—,23.6%,13.1%,5.6,BUYING,$+1.0M,1,0,🔴 1/4,↑0 ↓0,$3.87B,Consumer Durables,NASDAQ
CRK,"Comstock Resources, Inc.",12.92,28.10,54.0%,63.62,11.70,14.87,63.62,79.7%,1.38,—,25.4%,28.9%,8.4,SELLING,$-1.0M,0,1,✅ 3/4,↑0 ↓0,$3.79B,Energy Minerals,NYSE
PTEN,"Patterson-UTI Energy, Inc.",9.39,13.08,28.2%,13.14,8.37,11.55,13.14,28.5%,1.13,4.26%,-3.6%,9.6%,3.0,SELLING,$-17.0M,0,9,✅ 3/4,↑0 ↓0,$3.56B,Industrial Services,NASDAQ
SBCF,Seacoast Banking Corporation of Florida,32.92,35.55,7.4%,34.31,26.14,22.76,34.31,4.1%,1.18,2.31%,5.4%,6.4%,4.8,SELLING,$-1.8M,2,9,✅ 3/4,↑0 ↓0,$3.20B,Finance,NASDAQ
HOG,"Harley-Davidson, Inc.",25.14,31.25,19.6%,32.35,30.06,34.25,32.35,22.3%,0.87,2.98%,7.4%,21.9%,5.7,BUYING,$+61K,3,6,🔴 1/4,↑0 ↓0,$2.65B,Consumer Durables,NYSE
WHR,Whirlpool Corporation,40.72,107.93,62.3%,76.56,108.91,108.85,76.56,46.8%,0.70,—,5.2%,0.2%,0.0,BUYING,$+199K,1,0,🔴 1/4,↑2 ↓0,$2.64B,Consumer Durables,NYSE
XRAY,"DENTSPLY SIRONA, Inc.",12.26,17.09,28.3%,32.26,32.71,38.26,32.26,62.0%,1.86,—,-37.7%,16.3%,4.9,BUYING,$+1.6M,10,0,🔴 1/4,↑2 ↓0,$2.46B,Health Technology,NASDAQ
HE,"Hawaiian Electric Industries, Inc.",13.57,17.38,21.9%,19.10,25.94,25.70,19.10,28.9%,1.43,—,8.2%,13.0%,8.6,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$2.34B,Utilities,NYSE
NWL,Newell Brands Inc,5.17,6.63,22.1%,13.92,10.68,16.03,13.92,62.9%,0.94,5.42%,-11.2%,21.6%,3.6,SELLING,$-1.3M,0,4,🟡 1/4,↑0 ↓0,$2.20B,Producer Manufacturing,NASDAQ
NEOG,Neogen Corp,9.62,11.43,15.8%,14.69,23.52,23.81,14.69,34.5%,1.00,—,-25.6%,6.4%,4.7,BUYING,$+2K,3,0,🟡 2/4,—,$2.09B,Health Technology,NASDAQ
SRPT,"Sarepta Therapeutics, Inc.",18.95,25.32,25.2%,47.50,92.87,75.84,47.50,60.1%,1.33,—,-4.9%,32.6%,7.4,SELLING,$-123K,0,1,✅ 3/4,↑0 ↓0,$2.00B,Health Technology,NASDAQ
