Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,99.71,123.40,19.2%,107.41,115.55,107.41,67.69,7.2%,1.60,1.50%,10.5%,1.4%,2.1,SELLING,$-183K,1,1,✅ 4/4,↑1 ↓0,$173.15B,Consumer Services,NYSE
PFE,Pfizer Inc.,25.14,28.75,12.5%,25.93,28.82,25.93,18.47,3.0%,1.59,6.84%,8.3%,2.9%,3.5,SELLING,$-51K,0,1,✅ 4/4,↑0 ↓0,$143.28B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,24.10,33.74,28.6%,29.71,33.51,29.71,18.71,18.9%,0.98,5.48%,21.5%,2.8%,2.1,SELLING,$-2.3M,0,3,✅ 4/4,↑1 ↓0,$86.09B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,208.92,219.72,4.9%,263.66,234.77,263.66,172.02,20.8%,1.65,—,7.7%,4.3%,5.0,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$30.84B,Health Technology,NASDAQ
STLA,Stellantis N.V.,5.96,12.22,51.2%,9.56,11.74,9.56,,37.7%,0.25,—,—,3.5%,5.5,—,—,0,0,🟡 1/1,↑0 ↓0,$22.43B,Consumer Durables,NYSE
GPN,Global Payments Inc.,80.49,90.64,11.2%,102.75,121.81,102.75,60.34,21.7%,0.92,1.24%,2.6%,8.6%,4.3,BUYING,$+99K,1,0,✅ 4/4,↑2 ↓0,$22.02B,Finance,NYSE
CTSH,Cognizant Technology Solutions Corporation Class A,44.56,87.03,48.8%,61.91,65.58,61.91,39.29,28.0%,1.40,2.96%,14.9%,12.7%,4.3,SELLING,$-2K,1,9,✅ 4/4,↑1 ↓0,$21.12B,Technology Services,NASDAQ
BCE,BCE Inc.,22.14,26.52,16.5%,27.67,29.68,27.67,19.72,20.0%,1.43,5.63%,31.7%,—,5.8,—,—,0,0,✅ 3/4,↑0 ↓0,$20.65B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,77.60,84.45,8.1%,94.92,92.84,94.92,63.23,18.2%,1.40,2.06%,6.1%,7.8%,7.0,BUYING,$+32.3M,3,0,✅ 3/4,↑1 ↓0,$19.81B,Consumer Non-Durables,NYSE
RCI,Rogers Communications Inc. Class B,34.80,41.14,15.4%,34.81,37.17,34.81,25.00,0.0%,1.45,4.04%,49.3%,—,12.1,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$18.89B,Communications,NYSE
LYB,LyondellBasell Industries NV,57.80,83.94,31.1%,60.15,64.69,60.15,,3.9%,1.86,4.78%,-6.1%,5.0%,2.4,SELLING,$-27.0M,0,2,🔴 2/4,↑0 ↓0,$18.66B,Process Industries,NYSE
CHTR,"Charter Communications, Inc. Class A",133.33,402.15,66.8%,351.52,415.39,351.52,,62.1%,1.00,—,30.2%,43.6%,5.0,SELLING,$-9.0M,4,1,🔴 1/4,↑1 ↓0,$18.47B,Consumer Services,NASDAQ
ZBH,"Zimmer Biomet Holdings, Inc.",93.75,108.29,13.4%,109.71,114.87,109.71,82.15,14.6%,1.43,1.02%,6.1%,8.0%,5.2,SELLING,$-761K,0,3,✅ 4/4,↑1 ↓0,$18.14B,Health Technology,NYSE
WY,Weyerhaeuser Company,24.45,27.75,11.9%,24.55,26.35,24.55,18.18,0.4%,1.87,3.44%,4.2%,3.9%,4.0,BUYING,$+327K,2,1,✅ 4/4,↑0 ↓0,$17.63B,Finance,NYSE
TU,TELUS Corporation,10.59,16.73,36.7%,13.12,14.83,13.12,8.75,19.3%,1.48,10.28%,6.0%,—,10.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$16.67B,Communications,NYSE
QXO,"QXO, Inc.",15.42,27.61,44.2%,23.71,28.63,23.71,,35.0%,1.20,—,-6.8%,27.1%,7.3,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$16.00B,Distribution Services,NYSE
GIB,CGI Inc. Class A,68.14,103.03,33.9%,71.06,86.29,71.06,41.98,4.1%,1.99,0.70%,16.6%,—,11.8,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$14.26B,Technology Services,NYSE
SWK,"Stanley Black & Decker, Inc.",91.31,95.16,4.0%,97.71,100.78,97.71,65.62,6.6%,1.58,3.64%,4.2%,4.8%,3.7,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$14.19B,Consumer Durables,NYSE
HRL,Hormel Foods Corporation,25.71,29.78,13.7%,30.76,33.53,30.76,18.94,16.4%,1.78,4.55%,5.8%,6.8%,4.3,SELLING,$-495K,0,1,✅ 3/4,↑0 ↓0,$14.15B,Consumer Non-Durables,NYSE
APTV,Aptiv PLC,59.26,78.49,24.5%,82.62,93.37,82.62,,28.3%,1.36,—,4.0%,6.4%,2.6,SELLING,$-13K,1,2,✅ 3/4,↑0 ↓0,$12.54B,Producer Manufacturing,NYSE
CSGP,"CoStar Group, Inc.",30.37,97.43,68.8%,52.96,71.19,52.96,29.30,42.7%,1.56,—,0.3%,3.8%,2.0,BUYING,$+6.0M,5,0,✅ 4/4,↑1 ↓0,$12.40B,Technology Services,NASDAQ
BMRN,BioMarin Pharmaceutical Inc.,60.00,66.28,9.5%,84.17,78.98,84.17,53.74,28.7%,1.87,—,4.5%,7.2%,6.3,SELLING,$-3.2M,0,4,🔴 1/4,↑1 ↓0,$11.60B,Health Technology,NASDAQ
PSKY,Paramount Skydance Corporation Class B,9.14,20.86,56.2%,31.00,21.73,31.00,,70.5%,0.87,2.19%,-4.3%,14.6%,8.7,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$10.23B,Consumer Services,NASDAQ
WLK,Westlake Corporation,77.08,124.23,38.0%,78.83,90.31,78.83,,2.2%,1.16,2.75%,-17.2%,14.8%,4.5,SELLING,$-4.1M,0,3,🔴 1/4,↑0 ↓0,$9.88B,Process Industries,NYSE
SWKS,"Skyworks Solutions, Inc.",57.63,90.90,36.6%,83.90,95.11,83.90,47.34,31.3%,1.50,4.93%,6.2%,30.4%,5.2,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$8.67B,Electronic Technology,NASDAQ
KMX,"CarMax, Inc.",58.47,63.74,8.3%,73.50,82.19,73.50,47.58,20.4%,1.36,—,3.6%,10.1%,3.0,BUYING,$+1.3M,5,0,🔴 2/4,↑1 ↓0,$8.30B,Retail Trade,NYSE
BIO,"Bio-Rad Laboratories, Inc. Class A",300.98,343.12,12.3%,322.12,409.73,322.12,200.77,6.6%,1.18,—,2.5%,0.0%,—,SELLING,$-136K,0,1,🔴 2/4,↑0 ↓0,$8.11B,Health Technology,NYSE
TAP,Molson Coors Beverage Company Class B,41.78,54.82,23.8%,52.52,45.78,52.52,39.45,20.4%,0.74,4.60%,-18.2%,25.3%,8.0,BUYING,$+45K,2,1,✅ 3/4,↑0 ↓0,$7.85B,Consumer Non-Durables,NYSE
ZG,"Zillow Group, Inc. Class A",33.99,90.22,62.3%,50.93,59.98,50.93,,33.3%,1.77,—,1.3%,15.4%,2.2,—,—,0,0,🟡 2/4,↑0 ↓0,$7.79B,Technology Services,NASDAQ
