Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
ABT,Abbott Laboratories,107.12,0.2%,106.93,102.65,78.89,3.63,2.35%,10.6%,1.6%,1.8,BUYING,$+816K,3,6,🟡 1/4,↑1 ↓0,$185.36B,Health Technology,NYSE
SPGI,"S&P Global, Inc.",416.25,2.9%,404.57,371.09,270.07,3.90,0.93%,15.2%,1.7%,2.0,BUYING,$+3.6M,4,0,🔴 2/4,↑0 ↓0,$122.71B,Commercial Services,NYSE
AZO,"AutoZone, Inc.",2990.27,2.2%,2925.24,2372.59,1706.86,,—,—,3.4%,1.0,BUYING,$+319K,1,1,🔴 2/4,↑0 ↓0,$48.82B,Retail Trade,NYSE
HUM,Humana Inc.,374.50,3.4%,362.08,361.84,296.45,2.34,0.95%,6.8%,4.0%,2.8,BUYING,$+150K,1,0,✅ 4/4,↑0 ↓0,$44.97B,Health Services,NYSE
WCN,"Waste Connections, Inc.",167.81,8.1%,155.24,137.04,102.93,5.35,0.83%,13.0%,1.4%,1.9,BUYING,$+3.9M,1,9,✅ 4/4,↑0 ↓0,$42.30B,Industrial Services,NYSE
MSCI,MSCI Inc. Class A,574.43,9.5%,524.44,473.34,321.45,,1.43%,—,2.0%,1.8,BUYING,$+1.4M,3,3,✅ 3/4,↑1 ↓0,$41.76B,Commercial Services,NYSE
AVB,"AvalonBay Communities, Inc.",188.78,4.8%,180.17,172.27,154.11,2.23,3.77%,8.6%,3.1%,2.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$26.96B,Finance,NYSE
IP,International Paper Company,41.45,10.0%,37.70,36.34,34.22,,4.46%,-16.5%,17.8%,8.9,BUYING,$+1.3M,2,0,🔴 1/4,↑0 ↓0,$21.95B,Process Industries,NYSE
TTEK,"Tetra Tech, Inc.",33.83,1.9%,33.18,29.03,20.46,4.68,0.85%,24.3%,5.3%,3.4,BUYING,$+50K,1,0,✅ 4/4,↑0 ↓0,$8.66B,Industrial Services,NASDAQ
RLI,RLI Corp.,61.29,5.5%,58.11,51.21,39.21,3.21,1.17%,25.2%,9.4%,8.3,BUYING,$+1.1M,7,0,✅ 4/4,↑0 ↓0,$5.62B,Finance,NYSE
MMSI,"Merit Medical Systems, Inc.",85.53,8.8%,78.58,68.63,54.10,3.04,—,9.2%,7.8%,4.2,BUYING,$+260K,5,1,✅ 4/4,↑0 ↓0,$5.11B,Health Technology,NASDAQ
ABG,"Asbury Automotive Group, Inc.",227.97,5.1%,216.81,184.97,137.94,1.04,—,13.2%,10.5%,4.6,BUYING,$+919K,3,1,🟡 2/4,↑1 ↓0,$4.09B,Retail Trade,NYSE
GPI,"Group 1 Automotive, Inc.",292.14,0.5%,290.55,229.14,163.57,1.18,0.75%,9.4%,12.0%,4.6,NEUTRAL,—,0,0,🔴 0/4,↑1 ↓0,$3.48B,Retail Trade,NYSE
CXT,"Crane NXT, Co.",53.65,9.2%,49.14,41.00,33.08,2.49,1.34%,11.1%,19.8%,6.5,BUYING,$+876K,2,1,✅ 4/4,—,$3.09B,Producer Manufacturing,NYSE
WDFC,WD-40 Company,227.29,8.8%,208.91,205.96,163.09,10.96,1.80%,33.2%,5.1%,2.2,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$3.05B,Process Industries,NASDAQ
MGEE,"MGE Energy, Inc.",80.00,5.0%,76.18,71.91,61.15,2.18,2.38%,10.9%,5.7%,4.9,BUYING,$+29K,1,0,🟡 2/4,↑0 ↓0,$3.02B,Utilities,NASDAQ
TGLS,Tecnoglass Holdings Inc.,46.76,1.4%,46.09,34.00,23.63,2.82,1.28%,21.0%,9.4%,5.8,BUYING,$+27.0M,4,0,🔴 2/4,—,$2.17B,Producer Manufacturing,NYSE
