Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,98.89,120.50,17.9%,107.40,115.52,107.40,67.68,7.9%,1.59,1.52%,10.5%,1.3%,1.9,BUYING,$+99K,1,0,✅ 4/4,↑1 ↓0,$171.72B,Consumer Services,NYSE
PFE,Pfizer Inc.,25.25,28.75,12.2%,25.49,28.34,25.49,18.16,1.0%,1.60,6.81%,8.3%,2.9%,3.2,SELLING,$-51K,0,1,✅ 4/4,↑0 ↓0,$143.91B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,24.19,32.85,26.4%,29.71,33.51,29.71,18.71,18.6%,0.96,5.46%,12.0%,2.7%,2.0,SELLING,$-2.3M,0,3,✅ 4/4,↑1 ↓0,$85.84B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,205.61,219.72,6.4%,263.59,234.66,263.59,171.98,22.0%,1.63,—,7.7%,4.5%,3.9,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$30.36B,Health Technology,NASDAQ
FISV,"Fiserv, Inc.",54.21,142.83,62.0%,91.71,115.68,91.71,52.50,40.9%,1.10,—,12.3%,—,—,BUYING,$+1.7M,6,0,✅ 3/4,↑1 ↓0,$28.91B,Commercial Services,NASDAQ
GPN,Global Payments Inc.,87.46,90.64,3.5%,102.89,122.04,102.89,60.41,15.0%,1.00,1.14%,2.6%,8.8%,5.5,BUYING,$+99K,1,0,✅ 4/4,↑1 ↓0,$23.92B,Finance,NYSE
CTSH,Cognizant Technology Solutions Corporation Class A,50.31,87.03,42.2%,62.02,65.78,62.02,39.34,18.9%,1.58,2.62%,14.9%,12.1%,3.9,SELLING,$-2K,1,9,✅ 4/4,↑1 ↓0,$23.84B,Technology Services,NASDAQ
STLA,Stellantis N.V.,5.76,12.22,52.9%,9.56,11.74,9.56,,39.7%,0.24,—,—,3.8%,5.4,—,—,0,0,🟡 1/1,↑0 ↓0,$21.68B,Consumer Durables,NYSE
BCE,BCE Inc.,21.81,26.52,17.8%,27.67,29.67,27.67,19.71,21.2%,1.41,5.72%,31.7%,—,6.8,—,—,0,0,✅ 3/4,↑0 ↓0,$20.34B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,79.25,84.45,6.2%,94.95,92.90,94.95,63.25,16.5%,1.43,2.02%,6.1%,8.1%,7.3,BUYING,$+32.3M,3,0,✅ 3/4,↑1 ↓0,$20.23B,Consumer Non-Durables,NYSE
