Ticker,Company,Price,52W High,% Off 52W High,30Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
BDX,"Becton, Dickinson and Company",151.94,187.35,18.9%,171.26,171.26,150.38,94.56,11.3%,1.73,2.76%,5.7%,4.6%,3.9,SELLING,$-1.3M,0,11,✅ 4/4,↑0 ↓0,$41.87B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",355.90,566.24,37.1%,435.79,435.79,341.88,197.57,18.3%,1.94,1.02%,9.0%,6.6%,4.3,BUYING,$+502K,1,0,✅ 4/4,↑1 ↓0,$35.92B,Technology Services,NASDAQ
MSTR,Strategy Inc Class A,94.64,457.22,79.3%,97.69,97.69,65.02,36.38,3.1%,0.89,—,-30.8%,12.7%,1.5,SELLING,$-28.3M,0,31,🔴 1/4,↑1 ↓0,$33.17B,Technology Services,NASDAQ
LEN,Lennar Corporation Class A,84.27,144.24,41.6%,92.70,92.70,72.34,48.61,9.1%,0.94,2.37%,7.2%,0.3%,0.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$20.25B,Consumer Durables,NYSE
AMCR,Amcor PLC,43.18,50.94,15.2%,44.10,44.10,40.31,,2.1%,1.71,6.02%,8.7%,6.7%,8.2,—,—,0,0,🟡 2/4,↑0 ↓0,$19.96B,Process Industries,NYSE
TSN,"Tyson Foods, Inc. Class A",57.83,69.48,16.8%,58.90,58.90,53.60,32.98,1.8%,1.10,3.53%,2.5%,3.7%,2.5,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$19.96B,Consumer Non-Durables,NYSE
ALB,Albemarle Corporation,126.05,221.00,43.0%,134.86,134.86,109.70,68.60,6.5%,1.95,1.29%,-2.3%,0.1%,0.0,SELLING,$-7.4M,0,4,✅ 3/4,↑0 ↓0,$14.87B,Process Industries,NYSE
CNH,CNH Industrial NV,10.45,13.47,22.4%,10.77,10.77,9.28,,3.0%,1.67,0.96%,4.9%,8.9%,6.7,SELLING,$-490K,0,1,🟡 2/4,↑1 ↓0,$12.96B,Producer Manufacturing,NYSE
ICLR,ICON Plc,167.72,211.00,20.5%,206.68,206.68,158.75,89.02,18.9%,1.38,—,1.9%,4.4%,2.5,—,—,0,0,✅ 3/4,↑0 ↓0,$12.84B,Commercial Services,NASDAQ
RVTY,"Revvity, Inc.",112.29,118.30,5.1%,118.09,118.09,94.94,57.73,4.9%,1.75,0.25%,3.2%,10.3%,4.9,SELLING,$-4.7M,0,6,✅ 4/4,↑0 ↓0,$12.53B,Health Technology,NYSE
GME,GameStop Corp. Class A,21.68,28.10,22.8%,21.98,21.98,15.41,,1.4%,1.67,—,14.1%,13.6%,9.2,BUYING,$+21.2M,4,5,✅ 3/3,—,$9.73B,Retail Trade,NYSE
REXR,"Rexford Industrial Realty, Inc.",34.12,44.38,23.1%,42.66,42.66,32.68,,20.0%,0.95,5.10%,2.7%,6.4%,3.9,SELLING,$-1.5M,3,2,✅ 3/4,↑1 ↓0,$7.70B,Finance,NYSE
RYN,Rayonier Inc.,21.27,27.34,22.2%,23.38,23.38,21.23,15.66,9.0%,1.20,4.89%,12.9%,4.0%,4.4,SELLING,$-3.7M,0,2,✅ 4/4,↑0 ↓0,$6.43B,Finance,NYSE
ICL,ICL Group Ltd.,4.85,7.08,31.5%,5.28,5.28,4.62,,8.1%,1.04,3.87%,4.4%,0.4%,2.0,—,—,0,0,🟡 0/4,↑0 ↓0,$6.26B,Process Industries,NYSE
PPLI,People Incorporated,46.50,48.32,3.8%,56.24,56.24,40.99,23.07,17.3%,0.76,—,2.4%,15.4%,7.3,SELLING,$-279K,0,1,🔴 0/4,↑0 ↓0,$3.46B,Technology Services,NASDAQ
ASH,Ashland Inc.,66.75,68.25,2.2%,74.05,74.05,65.73,42.45,9.9%,1.64,2.52%,-31.0%,14.1%,4.5,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$3.06B,Consumer Non-Durables,NYSE
FSK,FS KKR Capital Corp.,10.80,22.68,52.4%,11.25,11.25,10.51,,4.0%,0.57,15.56%,-9.3%,5.2%,5.1,BUYING,$+75K,2,0,🔴 0/4,↑0 ↓0,$3.02B,Miscellaneous,NYSE
FUL,H.B. Fuller Company,55.91,68.63,18.5%,59.12,59.12,51.93,35.04,5.4%,1.44,1.75%,9.4%,5.8%,2.6,BUYING,$+295K,1,0,✅ 4/4,↑0 ↓0,$3.01B,Process Industries,NYSE
KWR,Quaker Houghton,148.17,183.00,19.0%,167.40,167.40,144.72,84.01,11.5%,1.87,1.37%,0.3%,16.1%,10.5,SELLING,$-107K,0,1,🔴 1/4,↑1 ↓0,$2.57B,Process Industries,NYSE
CBZ,"CBIZ, Inc.",37.79,77.91,51.5%,44.70,44.70,32.31,19.21,15.4%,1.08,—,8.1%,8.5%,4.7,SELLING,$-116K,2,1,✅ 3/4,↑1 ↓0,$2.03B,Commercial Services,NYSE
IOSP,Innospec Inc.,81.62,92.14,11.4%,88.84,88.84,73.18,43.87,8.1%,1.50,2.19%,8.8%,2.8%,2.2,SELLING,$-902K,0,13,✅ 4/4,—,$2.01B,Process Industries,NASDAQ
