Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
KKR,KKR & Co Inc,94.83,9.5%,86.56,68.46,47.63,3.02,0.82%,10.2%,2.3%,3.3,BUYING,$+50.9M,8,0,✅ 3/4,↑0 ↓0,$85.15B,Finance,NYSE
WCN,"Waste Connections, Inc.",156.08,2.3%,152.63,133.79,99.72,4.91,0.91%,12.8%,0.9%,1.1,BUYING,$+5.5M,1,6,✅ 4/4,↑1 ↓0,$39.66B,Industrial Services,NYSE
SYY,Sysco Corporation,74.97,3.0%,72.77,68.86,57.26,15.61,2.96%,82.3%,3.3%,3.1,BUYING,$+314K,1,2,✅ 3/4,↑0 ↓0,$35.85B,Distribution Services,NYSE
AVB,"AvalonBay Communities, Inc.",189.25,4.2%,181.67,172.96,153.55,2.29,3.76%,9.7%,3.9%,3.9,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$26.85B,Finance,NYSE
WTW,Willis Towers Watson Public Limited Company,264.16,2.8%,256.87,235.19,187.84,3.12,1.48%,20.7%,3.4%,3.1,BUYING,$+1.2M,4,1,✅ 4/4,↑0 ↓0,$24.95B,Finance,NASDAQ
WSO,"Watsco, Inc.",370.11,5.0%,352.49,294.39,217.81,4.90,3.58%,17.0%,0.0%,—,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$15.08B,Producer Manufacturing,NYSE
J,Jacobs Solutions Inc.,123.98,7.0%,115.86,104.06,79.26,4.45,1.17%,11.5%,6.3%,4.8,BUYING,$+285K,3,1,✅ 4/4,↑0 ↓0,$14.64B,Technology Services,NYSE
UDR,"UDR, Inc.",38.83,2.5%,37.89,36.82,32.08,3.90,4.47%,14.8%,7.7%,4.8,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$12.62B,Finance,NYSE
STN,Stantec Inc,75.31,3.6%,72.72,58.54,44.57,3.54,0.95%,15.3%,—,4.4,NEUTRAL,—,0,0,🟡 2/4,—,$8.59B,Industrial Services,NYSE
CAE,CAE Inc.,25.88,7.9%,23.98,23.66,19.80,2.18,—,6.1%,—,4.2,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$8.33B,Commercial Services,NYSE
MIDD,Middleby Corporation,155.27,4.9%,148.07,140.82,130.06,3.05,—,-7.7%,6.7%,3.4,BUYING,$+15.1M,2,0,✅ 4/4,↑0 ↓0,$7.02B,Producer Manufacturing,NASDAQ
MTDR,Matador Resources Company,55.10,8.4%,50.85,38.86,32.62,1.23,2.69%,8.9%,8.9%,6.4,BUYING,$+429K,7,0,✅ 4/4,↑1 ↓0,$6.84B,Energy Minerals,NYSE
BCPC,Balchem Corp,158.56,5.8%,149.86,134.33,108.58,3.96,0.61%,12.7%,1.6%,1.7,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$5.09B,Consumer Non-Durables,NASDAQ
HRI,"Herc Holdings, Inc.",145.92,7.6%,135.65,108.06,83.58,2.57,1.99%,-0.3%,8.6%,3.3,BUYING,$+427K,1,0,✅ 3/4,↑0 ↓0,$4.87B,Finance,NYSE
CBT,Cabot Corporation,83.56,9.9%,76.06,63.61,54.18,2.75,2.28%,18.8%,8.2%,8.3,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$4.31B,Process Industries,NYSE
SLM,SLM Corp,22.23,9.7%,20.26,16.96,13.50,1.92,2.33%,30.9%,13.9%,6.9,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$4.19B,Finance,NASDAQ
GPI,"Group 1 Automotive, Inc.",307.90,7.8%,285.63,221.76,159.00,1.29,0.72%,11.1%,11.2%,6.0,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$3.66B,Retail Trade,NYSE
KBH,KB Home,52.08,1.4%,51.36,45.01,33.78,0.85,1.92%,8.8%,17.9%,7.0,NEUTRAL,—,0,0,🔴 2/4,↑1 ↓0,$3.26B,Consumer Durables,NYSE
AGYS,"Agilysys, Inc.",90.21,9.8%,82.16,66.63,44.85,7.78,—,13.1%,4.8%,4.3,BUYING,$+78K,2,0,🔴 2/4,↑1 ↓0,$2.54B,Technology Services,NASDAQ
HTO,H2O America,57.30,1.5%,56.45,56.22,47.96,1.31,3.11%,6.5%,15.2%,8.2,BUYING,$+10.6M,3,1,🟡 2/4,↑3 ↓0,$2.40B,Utilities,NASDAQ
CENT,Central Garden & Pet Company,39.88,9.8%,36.32,33.91,27.86,1.51,—,10.7%,6.4%,6.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.25B,Consumer Non-Durables,NASDAQ
