Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,98.18,119.78,18.0%,108.45,115.29,108.45,68.41,9.5%,1.58,1.53%,10.5%,1.3%,1.9,BUYING,$+99K,1,0,✅ 4/4,↑1 ↓0,$170.49B,Consumer Services,NYSE
PFE,Pfizer Inc.,25.41,28.75,11.6%,25.44,28.16,25.44,18.14,0.1%,1.61,6.77%,8.3%,2.9%,3.2,SELLING,$-51K,0,1,✅ 4/4,↑0 ↓0,$144.82B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,24.93,32.85,24.1%,29.92,33.41,29.92,18.91,16.7%,0.98,5.29%,12.0%,2.7%,2.0,SELLING,$-2.0M,0,2,✅ 4/4,↑1 ↓0,$88.47B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,208.45,219.72,5.1%,262.05,232.79,262.05,172.49,20.5%,1.63,—,4.6%,4.5%,3.9,SELLING,$-531K,1,1,✅ 4/4,↑0 ↓0,$30.80B,Health Technology,NASDAQ
FISV,"Fiserv, Inc.",55.78,140.42,60.3%,91.71,114.80,91.71,52.52,39.2%,1.13,—,12.3%,—,—,BUYING,$+1.7M,6,0,✅ 3/4,↑1 ↓0,$29.74B,Commercial Services,NASDAQ
CTSH,Cognizant Technology Solutions Corporation Class A,56.13,87.03,35.5%,62.14,65.97,62.14,39.40,9.7%,1.75,2.35%,14.9%,12.7%,3.9,BUYING,$+142K,1,8,✅ 3/4,↑1 ↓0,$25.28B,Technology Services,NASDAQ
GPN,Global Payments Inc.,88.25,90.64,2.6%,102.91,122.07,102.91,60.42,14.2%,1.01,1.13%,2.6%,8.8%,5.5,BUYING,$+99K,1,0,✅ 4/4,↑1 ↓0,$24.14B,Finance,NYSE
STLA,Stellantis N.V.,5.86,12.22,52.0%,9.56,11.74,9.56,,38.7%,0.26,—,—,3.8%,5.4,—,—,0,0,🟡 1/2,↑0 ↓0,$22.06B,Consumer Durables,NYSE
IFF,International Flavors & Fragrances Inc.,80.89,84.45,4.2%,96.55,93.96,96.55,64.22,16.2%,1.46,1.98%,6.1%,8.1%,7.3,BUYING,$+32.3M,3,0,🔴 2/4,↑1 ↓0,$20.65B,Consumer Non-Durables,NYSE
BCE,BCE Inc.,22.00,26.52,17.0%,27.94,29.86,27.94,19.91,21.3%,1.42,5.67%,31.7%,—,6.8,—,—,0,0,✅ 3/4,↑0 ↓0,$20.52B,Communications,NYSE
CHTR,"Charter Communications, Inc. Class A",153.07,285.82,46.4%,351.92,416.05,351.92,,56.5%,1.08,—,29.7%,45.5%,5.3,SELLING,$-9.0M,4,1,🔴 2/4,↑1 ↓0,$20.48B,Consumer Services,NASDAQ
ZBH,"Zimmer Biomet Holdings, Inc.",95.81,108.29,11.5%,109.76,114.94,109.76,82.17,12.7%,1.46,1.00%,6.1%,8.2%,5.0,SELLING,$-761K,0,3,✅ 4/4,↑1 ↓0,$18.54B,Health Technology,NYSE
RCI,Rogers Communications Inc. Class B,33.85,41.14,17.7%,34.79,37.14,34.79,24.99,2.7%,1.57,4.15%,44.4%,—,12.7,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$18.39B,Communications,NYSE
QXO,"QXO, Inc.",15.34,27.61,44.4%,23.71,28.63,23.71,,35.3%,1.20,—,-6.8%,11.5%,3.5,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$15.91B,Distribution Services,NYSE
TU,TELUS Corporation,9.53,16.72,43.0%,13.09,14.79,13.09,8.74,27.2%,1.61,11.42%,-6.4%,—,11.1,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$15.14B,Communications,NYSE
HRL,Hormel Foods Corporation,25.34,29.34,13.6%,30.72,33.44,30.72,18.94,17.5%,1.75,4.62%,5.8%,7.0%,4.6,SELLING,$-495K,0,1,✅ 3/4,↑0 ↓0,$13.94B,Consumer Non-Durables,NYSE
