Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,100.59,124.69,19.3%,109.41,118.96,109.41,68.63,8.1%,1.61,1.46%,10.5%,1.5%,2.9,BUYING,$+1.6M,2,2,✅ 4/4,↑0 ↓0,$174.68B,Consumer Services,NYSE
PFE,Pfizer Inc.,25.41,28.75,11.6%,25.73,28.60,25.73,18.34,1.3%,1.61,6.71%,8.3%,2.8%,4.3,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$144.79B,Health Technology,NYSE
MDT,Medtronic Plc,74.12,106.33,30.3%,76.16,85.48,76.16,53.12,2.7%,1.94,3.84%,9.4%,1.1%,1.5,SELLING,$-5.1M,0,1,✅ 4/4,↑0 ↓0,$95.16B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,24.77,34.34,27.9%,30.33,34.25,30.33,19.02,18.3%,1.00,5.27%,21.5%,—,—,—,—,0,0,—,—,$88.23B,Consumer Services,NASDAQ
BDX,"Becton, Dickinson and Company",144.17,187.35,23.0%,150.39,170.65,150.39,94.37,4.1%,1.65,2.89%,5.7%,—,—,SELLING,$-709K,0,9,✅ 4/4,↑0 ↓0,$39.72B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",332.01,576.49,42.4%,343.18,438.13,343.18,197.76,3.3%,1.81,1.06%,9.0%,4.6%,3.4,BUYING,$+502K,1,0,✅ 4/4,↑0 ↓0,$33.51B,Technology Services,NASDAQ
FISV,"Fiserv, Inc.",56.70,177.36,68.0%,92.88,117.86,92.88,53.00,39.0%,1.15,—,12.3%,—,—,NEUTRAL,—,0,0,✅ 3/4,↑2 ↓0,$30.24B,Commercial Services,NASDAQ
BIIB,Biogen Inc.,186.57,205.97,9.4%,264.53,231.45,264.53,172.33,29.5%,1.48,—,7.7%,3.6%,3.9,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$27.54B,Health Technology,NASDAQ
CTSH,Cognizant Technology Solutions Corporation Class A,53.85,87.03,38.1%,61.92,65.65,61.92,39.29,13.0%,1.69,2.31%,14.9%,10.0%,6.7,SELLING,$-3.6M,0,17,✅ 4/4,↑2 ↓0,$25.52B,Technology Services,NASDAQ
BCE,BCE Inc.,24.86,26.52,6.2%,28.00,30.16,28.00,19.80,11.2%,1.60,4.98%,31.7%,—,6.8,—,—,0,0,✅ 3/4,↑0 ↓0,$23.19B,Communications,NYSE
STLA,Stellantis N.V.,7.67,12.22,37.2%,9.46,11.57,9.46,,18.9%,0.32,—,—,2.7%,4.5,—,—,0,0,🟡 1/1,—,$22.19B,Consumer Durables,NYSE
GPN,Global Payments Inc.,73.73,90.64,18.6%,102.10,123.74,102.10,59.77,27.8%,0.85,1.33%,2.6%,6.4%,4.6,BUYING,$+1.0M,2,1,✅ 4/4,↑1 ↓0,$20.17B,Commercial Services,NYSE
