Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",76.78,87.29,12.0%,230.81,56.45,51.46,230.81,66.7%,1.01,2.60%,7.7%,2.1%,2.0,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$40.71B,Finance,NYSE
PCG,PG&E Corporation,17.51,19.16,8.6%,27.04,14.26,27.87,27.04,35.2%,1.22,1.14%,9.2%,0.0%,—,SELLING,$-4.9M,0,9,🟡 2/4,↑1 ↓0,$38.56B,Utilities,NYSE
FISV,"Fiserv, Inc.",50.36,168.01,70.0%,52.46,115.55,91.63,52.46,4.0%,1.02,—,12.3%,—,—,BUYING,$+1.7M,6,0,✅ 3/4,↑2 ↓0,$26.85B,Commercial Services,NASDAQ
FIS,"Fidelity National Information Services, Inc.",41.10,82.62,50.3%,48.20,84.93,77.76,48.20,14.7%,1.33,4.28%,17.2%,4.3%,2.9,BUYING,$+1.1M,2,0,🟡 2/4,↑1 ↓0,$21.24B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.68,17.53,4.8%,18.58,11.41,20.72,18.58,10.2%,1.33,2.88%,-2.0%,4.1%,4.8,—,—,0,0,✅ 4/4,↑0 ↓0,$19.58B,Health Technology,NASDAQ
CDE,"Coeur Mining, Inc.",15.91,27.77,42.7%,17.71,7.44,7.16,17.71,10.1%,1.58,0.25%,12.1%,5.4%,1.1,SELLING,$-715K,1,1,🟡 2/4,↑0 ↓0,$16.40B,Non-Energy Minerals,NYSE
APA,APA Corporation,34.27,45.66,24.9%,42.51,24.83,31.57,42.51,19.4%,1.88,2.92%,25.8%,11.7%,5.5,SELLING,$-833K,0,1,✅ 4/4,↑0 ↓0,$12.11B,Energy Minerals,NASDAQ
CSGP,"CoStar Group, Inc.",28.49,97.43,70.8%,29.29,71.13,52.93,29.29,2.7%,1.47,—,0.3%,3.8%,2.0,BUYING,$+6.0M,5,0,✅ 4/4,↑1 ↓0,$11.63B,Technology Services,NASDAQ
BAX,Baxter International Inc.,22.15,29.35,24.5%,33.67,50.05,48.03,33.67,34.2%,1.89,0.18%,-14.9%,11.8%,5.5,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$11.44B,Health Technology,NYSE
SIRI,SiriusXM Holdings Inc.,30.65,31.42,2.5%,31.33,40.70,40.05,31.33,2.2%,0.88,3.47%,7.4%,18.1%,5.6,SELLING,$-740K,0,2,🔴 1/4,↑0 ↓0,$10.32B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",48.70,88.24,44.8%,66.01,109.13,95.03,66.01,26.2%,0.53,5.91%,-6.4%,6.0%,3.5,BUYING,$+2.2M,5,3,🔴 2/4,↑0 ↓0,$8.49B,Finance,NYSE
MOS,Mosaic Company,23.04,37.53,38.6%,28.61,28.55,27.66,28.61,19.5%,0.62,3.82%,0.4%,12.4%,2.9,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$7.32B,Process Industries,NYSE
NOV,NOV Inc.,19.39,21.55,10.0%,27.25,15.61,24.17,27.25,28.8%,1.12,1.86%,1.4%,16.1%,6.9,—,—,0,0,🔴 0/4,↑0 ↓0,$6.96B,Industrial Services,NYSE
CAG,"Conagra Brands, Inc.",14.09,20.32,30.6%,16.82,24.15,23.49,16.82,16.2%,1.06,4.97%,-25.1%,15.1%,2.4,BUYING,$+250K,1,0,✅ 3/4,↑0 ↓0,$6.74B,Consumer Non-Durables,NYSE
CPB,Campbell's Company,21.89,34.17,35.9%,26.94,36.09,35.38,26.94,18.8%,1.62,7.13%,15.4%,30.0%,3.7,BUYING,$+6K,1,0,✅ 3/4,↑1 ↓0,$6.53B,Consumer Non-Durables,NASDAQ
FLG,"Flagstar Bank, National Association",15.01,15.37,2.3%,20.92,21.30,23.58,20.92,28.2%,0.82,0.27%,-0.7%,0.0%,0.0,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$6.26B,Finance,NYSE
TFX,Teleflex Incorporated,131.75,139.67,5.7%,134.46,249.46,220.38,134.46,2.0%,1.89,1.03%,-8.2%,8.5%,4.8,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$5.83B,Health Technology,NYSE
RIG,Transocean Ltd.,5.20,7.66,32.1%,30.16,4.36,8.30,30.16,82.8%,0.70,—,-30.1%,22.1%,6.7,SELLING,$-1.3M,1,3,🔴 2/4,↑0 ↓0,$5.81B,Industrial Services,NYSE
CLF,Cleveland-Cliffs Inc,9.85,16.70,41.0%,19.23,13.89,11.05,19.23,48.8%,0.97,—,-20.0%,14.5%,4.1,SELLING,$-42.0M,1,3,✅ 3/4,↑1 ↓0,$5.62B,Non-Energy Minerals,NYSE
MAT,"Mattel, Inc.",13.86,22.48,38.3%,17.71,17.17,18.96,17.71,21.7%,1.91,—,23.6%,13.1%,5.6,BUYING,$+1.0M,1,0,🔴 1/4,↑0 ↓0,$4.03B,Consumer Durables,NASDAQ
CRK,"Comstock Resources, Inc.",13.07,28.10,53.5%,63.62,11.70,14.87,63.62,79.5%,1.39,—,25.4%,28.9%,8.4,SELLING,$-1.0M,0,1,✅ 3/4,↑0 ↓0,$3.84B,Energy Minerals,NYSE
