Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",76.57,87.29,12.3%,230.25,56.74,51.77,230.25,66.7%,0.99,—,7.2%,1.8%,2.4,SELLING,$-18.1M,0,1,✅ 4/4,↑0 ↓0,$40.04B,Finance,NYSE
PCG,PG&E Corporation,13.51,19.16,29.5%,27.15,14.06,27.74,27.15,50.2%,0.92,—,9.7%,0.0%,—,SELLING,$-6.4M,0,9,✅ 3/4,↑0 ↓0,$29.76B,Utilities,NYSE
FIS,"Fidelity National Information Services, Inc.",40.98,70.27,41.7%,48.20,84.93,77.76,48.20,15.0%,1.32,—,22.3%,3.6%,2.5,BUYING,$+1.1M,3,0,🟡 2/4,↑1 ↓0,$21.13B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.39,18.39,10.8%,18.54,11.56,20.72,18.54,11.5%,1.33,—,-2.8%,3.2%,3.4,—,—,0,0,✅ 4/4,—,$18.83B,Health Technology,NASDAQ
SIRI,SiriusXM Holdings Inc.,28.10,32.66,14.0%,31.02,40.27,39.66,31.02,9.4%,0.80,—,7.6%,17.4%,8.6,SELLING,$-1.2M,0,3,🔴 1/4,↑0 ↓0,$9.47B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",51.03,88.24,42.2%,66.38,107.35,95.16,66.38,23.1%,0.56,—,-6.3%,5.5%,3.9,BUYING,$+1.3M,5,2,✅ 3/4,↑0 ↓0,$8.89B,Finance,NYSE
CAG,"Conagra Brands, Inc.",16.02,20.32,21.1%,16.75,23.96,23.39,16.75,4.4%,1.21,—,-25.1%,10.9%,2.9,BUYING,$+761K,2,0,✅ 3/4,↑0 ↓0,$7.67B,Consumer Non-Durables,NYSE
MOS,Mosaic Company,23.93,36.99,35.3%,28.82,29.17,28.08,28.82,17.0%,0.66,—,-5.3%,12.1%,3.9,SELLING,$-509K,0,1,🔴 1/4,↑1 ↓0,$7.61B,Process Industries,NYSE
NOV,NOV Inc.,21.20,21.68,2.2%,27.26,15.67,24.20,27.26,22.2%,1.22,—,1.5%,13.3%,7.4,—,—,0,0,🔴 1/4,↑0 ↓0,$7.56B,Industrial Services,NYSE
CPB,Campbell's Company,23.64,34.17,30.8%,27.05,36.24,35.56,27.05,12.6%,1.75,—,15.4%,27.1%,7.9,BUYING,$+6K,1,0,✅ 3/4,↑1 ↓0,$7.05B,Consumer Non-Durables,NASDAQ
CLF,Cleveland-Cliffs Inc,11.61,16.70,30.5%,19.43,14.09,11.33,19.43,40.3%,1.18,—,-15.2%,14.3%,3.4,SELLING,$-2.9M,0,1,✅ 3/4,↑0 ↓0,$6.62B,Non-Energy Minerals,NYSE
RIG,Transocean Ltd.,5.79,7.66,24.3%,29.99,4.39,8.16,29.99,80.7%,0.77,—,-18.7%,26.4%,6.1,BUYING,$+173K,1,0,🔴 2/4,↑0 ↓0,$6.47B,Industrial Services,NYSE
FLG,"Flagstar Bank, National Association",13.36,15.44,13.5%,20.92,21.40,23.51,20.92,36.2%,0.73,—,0.6%,0.0%,—,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$5.54B,Finance,NYSE
PTEN,"Patterson-UTI Energy, Inc.",12.60,13.08,3.7%,13.32,8.80,11.71,13.32,5.5%,1.55,—,-2.8%,9.2%,3.3,SELLING,$-16.0M,0,8,✅ 3/4,↑0 ↓0,$4.80B,Energy Minerals,NASDAQ
CRK,"Comstock Resources, Inc.",14.62,28.10,48.0%,62.85,11.54,13.44,62.85,76.7%,1.66,—,20.9%,31.3%,10.8,SELLING,$-1.0M,0,1,✅ 3/4,↑0 ↓0,$4.29B,Energy Minerals,NYSE
SBCF,Seacoast Banking Corporation of Florida,33.84,36.27,6.7%,33.86,26.51,23.01,33.86,0.1%,1.20,—,5.9%,5.9%,4.8,SELLING,$-1.2M,0,5,🟡 2/4,↑0 ↓0,$3.28B,Finance,NASDAQ
HOG,"Harley-Davidson, Inc.",27.49,31.25,12.0%,32.55,30.32,33.98,32.55,15.6%,0.93,—,6.3%,24.4%,7.2,BUYING,$+1.5M,5,6,🟡 2/4,↑0 ↓0,$2.86B,Consumer Durables,NYSE
WHR,Whirlpool Corporation,40.84,96.57,57.7%,76.63,108.47,108.81,76.63,46.7%,0.68,—,6.0%,0.0%,—,NEUTRAL,—,0,0,🔴 1/4,↑2 ↓0,$2.66B,Consumer Durables,NYSE
NWL,Newell Brands Inc,6.08,7.13,14.7%,13.98,10.97,16.12,13.98,56.5%,1.06,—,-8.6%,16.4%,4.4,SELLING,$-1.9M,0,5,🟡 2/4,↑0 ↓0,$2.59B,Producer Manufacturing,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",27.78,35.83,22.5%,30.30,49.48,49.09,30.30,8.3%,1.28,—,-44.5%,34.6%,7.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.59B,Health Services,NASDAQ
AAP,"Advance Auto Parts, Inc.",42.36,65.21,35.0%,77.05,105.91,114.28,77.05,45.0%,1.13,—,4.8%,26.9%,6.8,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.56B,Retail Trade,NYSE
NEOG,Neogen Corp,11.52,12.85,10.4%,14.50,22.88,23.44,14.50,20.6%,1.20,—,-0.4%,6.1%,4.5,BUYING,$+4K,1,0,✅ 3/4,↑0 ↓0,$2.51B,Health Technology,NASDAQ
BXMT,"Blackstone Mortgage Trust, Inc. Class A",13.85,20.66,33.0%,16.20,16.39,14.82,16.20,14.6%,0.72,—,0.4%,9.6%,4.6,BUYING,$+8K,1,5,🔴 0/4,↑0 ↓0,$2.33B,Finance,NYSE
