Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
KKR,KKR & Co Inc,92.65,7.1%,86.51,68.42,47.61,2.95,0.84%,10.2%,2.2%,3.5,BUYING,$+50.9M,8,0,✅ 3/4,↑0 ↓0,$83.19B,Finance,NYSE
MELI,"MercadoLibre, Inc.",1619.25,2.4%,1581.52,1392.06,916.20,11.27,—,31.3%,1.9%,1.8,BUYING,$+1.3M,3,0,🔴 1/4,↑0 ↓0,$82.09B,Retail Trade,NASDAQ
HUM,Humana Inc.,376.00,2.5%,366.83,359.20,295.51,2.43,0.94%,6.2%,6.0%,4.9,BUYING,$+150K,1,0,✅ 4/4,↑0 ↓0,$45.14B,Health Services,NYSE
KDP,Keurig Dr Pepper Inc.,32.52,4.1%,31.23,29.44,22.36,1.75,2.83%,7.4%,5.5%,5.5,NEUTRAL,—,0,0,🟡 2/4,↑2 ↓0,$44.25B,Consumer Non-Durables,NASDAQ
WCN,"Waste Connections, Inc.",166.21,8.5%,153.13,134.12,99.92,5.23,0.84%,12.8%,1.1%,1.4,BUYING,$+4.4M,1,7,✅ 4/4,↑0 ↓0,$42.23B,Industrial Services,NYSE
MSCI,MSCI Inc. Class A,544.56,3.8%,524.47,459.09,309.33,,1.51%,—,2.9%,2.9,BUYING,$+1.4M,3,3,✅ 4/4,↑0 ↓0,$39.64B,Commercial Services,NYSE
AVB,"AvalonBay Communities, Inc.",186.13,2.5%,181.51,172.86,153.48,2.25,3.83%,9.7%,3.2%,2.8,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$26.41B,Finance,NYSE
WTW,Willis Towers Watson Public Limited Company,257.69,0.4%,256.64,235.04,187.75,3.05,1.49%,20.7%,3.7%,4.4,BUYING,$+1.2M,4,1,✅ 4/4,↑0 ↓0,$24.34B,Finance,NASDAQ
IP,International Paper Company,39.02,1.7%,38.38,36.61,34.22,1.40,4.74%,-16.0%,17.1%,8.1,BUYING,$+4.3M,4,0,🔴 0/4,↑1 ↓0,$20.66B,Process Industries,NYSE
SMCI,"Super Micro Computer, Inc.",31.68,1.5%,31.21,21.71,14.04,2.51,—,17.9%,19.4%,1.5,NEUTRAL,—,0,0,🔴 2/4,—,$20.49B,Electronic Technology,NASDAQ
J,Jacobs Solutions Inc.,124.39,7.3%,115.89,104.08,79.27,4.46,1.16%,11.5%,6.6%,5.6,BUYING,$+285K,3,1,✅ 4/4,↑0 ↓0,$14.69B,Technology Services,NYSE
WTRG,"Essential Utilities, Inc.",37.93,0.8%,37.62,37.45,32.03,1.56,3.61%,8.3%,1.9%,3.0,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$10.76B,Utilities,NYSE
CAE,CAE Inc.,24.64,3.0%,23.92,23.62,19.78,2.08,—,6.1%,—,4.3,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$7.92B,Commercial Services,NYSE
SON,Sonoco Products Company,54.34,9.1%,49.79,48.77,43.25,1.51,3.97%,20.2%,12.6%,7.9,BUYING,$+650K,2,2,🟡 1/4,↑1 ↓0,$5.37B,Process Industries,NYSE
FFIN,First Financial Bankshares Inc,34.94,3.8%,33.67,33.06,26.62,2.56,2.52%,14.6%,7.9%,10.2,BUYING,$+912K,14,0,✅ 3/4,↑1 ↓0,$5.01B,Finance,NASDAQ
SLGN,Silgan Holdings Inc.,45.33,2.4%,44.27,40.04,33.28,2.06,1.85%,12.9%,10.3%,10.2,NEUTRAL,—,0,0,🟡 2/4,↑1 ↓0,$4.79B,Process Industries,NYSE
LOPE,"Grand Canyon Education, Inc.",143.03,7.2%,133.44,120.08,98.12,5.49,—,29.8%,6.6%,6.1,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$3.79B,Commercial Services,NASDAQ
GPI,"Group 1 Automotive, Inc.",300.82,5.5%,285.12,221.42,158.80,1.26,0.73%,11.1%,11.5%,5.2,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$3.58B,Retail Trade,NYSE
MGEE,"MGE Energy, Inc.",78.86,4.9%,75.20,70.92,59.89,2.15,2.41%,10.9%,5.1%,4.5,BUYING,$+29K,1,0,🟡 2/4,↑0 ↓0,$2.98B,Utilities,NASDAQ
APAM,"Artisan Partners Asset Management, Inc. Class A",34.84,6.6%,32.69,29.29,23.40,6.36,9.73%,69.7%,8.5%,6.1,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$2.82B,Finance,NYSE
CXT,"Crane NXT, Co.",48.03,0.8%,47.64,39.84,32.31,2.23,1.50%,11.1%,18.2%,8.0,BUYING,$+1.2M,6,1,✅ 4/4,↑0 ↓0,$2.76B,Producer Manufacturing,NYSE
HUBG,"Hub Group, Inc. Class A",43.90,9.3%,40.16,35.37,29.50,1.58,1.14%,6.3%,8.1%,4.4,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$2.68B,Transportation,NASDAQ
HTO,H2O America,59.82,5.7%,56.57,56.30,48.01,1.36,2.94%,6.5%,15.9%,11.7,BUYING,$+10.6M,3,1,🟡 2/4,↑2 ↓0,$2.50B,Utilities,NASDAQ
