Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
ABT,Abbott Laboratories,110.51,3.2%,107.11,102.77,78.96,3.74,—,10.6%,1.3%,1.9,BUYING,$+659K,3,1,🟡 1/4,↑1 ↓0,$191.22B,Health Technology,NYSE
SPGI,"S&P Global, Inc.",436.85,7.9%,404.80,371.01,269.91,4.09,—,15.2%,2.6%,3.8,BUYING,$+2.6M,3,0,🔴 2/4,↑0 ↓0,$128.78B,Commercial Services,NYSE
ADSK,"Autodesk, Inc.",259.08,6.6%,243.05,240.95,180.52,16.01,—,53.9%,3.9%,3.5,BUYING,$+2.2M,4,0,✅ 4/4,↑3 ↓0,$54.67B,Technology Services,NASDAQ
KDP,Keurig Dr Pepper Inc.,31.84,2.2%,31.15,29.62,23.14,1.73,—,5.7%,5.5%,5.2,NEUTRAL,—,0,0,✅ 3/4,↑2 ↓0,$43.32B,Consumer Non-Durables,NASDAQ
WCN,"Waste Connections, Inc.",165.74,7.1%,154.82,136.69,102.68,5.28,—,13.0%,1.7%,2.8,BUYING,$+3.3M,1,11,✅ 4/4,↑0 ↓0,$41.77B,Industrial Services,NYSE
AWK,"American Water Works Company, Inc.",138.50,4.2%,132.88,129.34,101.56,2.36,—,10.1%,6.9%,4.6,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$27.52B,Utilities,NYSE
BR,"Broadridge Financial Solutions, Inc.",182.84,0.4%,182.20,162.33,122.35,7.34,—,40.9%,3.3%,2.9,BUYING,$+736K,2,1,✅ 4/4,↑0 ↓0,$20.85B,Technology Services,NYSE
IP,International Paper Company,38.35,3.3%,37.14,35.85,33.79,1.40,—,-16.5%,16.0%,8.8,BUYING,$+157K,2,2,🔴 1/4,↑0 ↓0,$20.31B,Process Industries,NYSE
RBA,"RB Global, Inc.",84.75,9.6%,77.35,66.80,50.26,2.82,—,8.0%,9.8%,8.5,BUYING,$+151K,3,2,✅ 3/4,↑0 ↓0,$15.69B,Technology Services,NYSE
TXT,Textron Inc.,81.05,3.9%,78.02,68.27,59.66,1.73,—,12.1%,5.0%,4.2,BUYING,$+754K,1,1,✅ 4/4,↑0 ↓0,$13.94B,Electronic Technology,NYSE
RPM,RPM International Inc.,104.87,5.4%,99.51,90.16,71.04,4.04,—,21.3%,3.7%,3.5,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$13.38B,Process Industries,NYSE
JKHY,"Jack Henry & Associates, Inc.",167.80,1.1%,165.94,159.24,130.25,5.73,—,24.0%,7.0%,4.7,BUYING,$+317K,2,0,✅ 4/4,↑1 ↓0,$11.92B,Technology Services,NASDAQ
MGM,MGM Resorts International,41.64,6.8%,38.99,35.85,31.63,4.17,—,15.4%,14.5%,7.2,BUYING,$+35.7M,1,2,🔴 2/4,↑0 ↓0,$10.48B,Consumer Services,NYSE
TTEK,"Tetra Tech, Inc.",36.17,8.8%,33.24,29.05,20.47,5.00,—,24.3%,4.7%,3.7,BUYING,$+50K,1,0,✅ 4/4,↑0 ↓0,$9.26B,Industrial Services,NASDAQ
STN,Stantec Inc,73.88,0.5%,73.48,60.06,45.45,3.48,—,15.7%,—,5.1,NEUTRAL,—,0,0,✅ 3/4,—,$8.30B,Industrial Services,NYSE
RLI,RLI Corp.,63.65,9.3%,58.22,51.28,39.25,3.33,—,25.2%,9.6%,9.0,BUYING,$+1.1M,7,0,✅ 4/4,↑0 ↓0,$5.84B,Finance,NYSE
LOPE,"Grand Canyon Education, Inc.",149.76,9.3%,137.06,121.29,100.30,5.87,—,31.0%,6.7%,4.8,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$3.90B,Commercial Services,NASDAQ
