Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",77.31,87.29,11.4%,230.25,56.77,51.78,230.25,66.4%,1.00,2.59%,7.2%,1.6%,2.1,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$40.42B,Finance,NYSE
PCG,PG&E Corporation,17.30,19.16,9.7%,27.19,14.19,27.82,27.19,36.4%,1.18,1.16%,9.7%,0.0%,—,SELLING,$-7.8M,0,11,✅ 3/4,↑0 ↓0,$38.10B,Utilities,NYSE
FIS,"Fidelity National Information Services, Inc.",42.76,72.91,41.4%,48.22,84.99,77.79,48.22,11.3%,1.38,4.12%,22.3%,4.2%,3.3,BUYING,$+1.1M,3,0,🟡 2/4,↑1 ↓0,$22.05B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.28,18.39,11.5%,18.67,11.64,20.87,18.67,12.8%,1.32,2.95%,-2.8%,4.0%,4.8,—,—,0,0,✅ 4/4,↑0 ↓0,$18.70B,Health Technology,NASDAQ
SIRI,SiriusXM Holdings Inc.,28.51,32.66,12.7%,31.02,40.27,39.66,31.02,8.1%,0.81,3.73%,7.6%,17.2%,8.6,SELLING,$-1.2M,0,3,🔴 1/4,↑0 ↓0,$9.61B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",48.12,88.24,45.5%,66.35,107.25,95.10,66.35,27.5%,0.53,5.99%,-6.3%,5.6%,4.3,BUYING,$+836K,4,3,✅ 3/4,↑0 ↓0,$8.38B,Finance,NYSE
NOV,NOV Inc.,21.02,21.55,2.5%,27.26,15.66,24.20,27.26,22.9%,1.21,1.71%,1.5%,—,—,—,—,0,0,🔴 1/4,↑0 ↓0,$7.49B,Industrial Services,NYSE
MOS,Mosaic Company,23.10,36.99,37.6%,28.82,29.14,28.06,28.82,19.8%,0.64,3.81%,-5.3%,13.3%,4.0,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$7.34B,Process Industries,NYSE
CAG,"Conagra Brands, Inc.",14.93,20.32,26.5%,16.74,23.92,23.36,16.74,10.8%,1.12,4.69%,-25.1%,11.7%,2.7,BUYING,$+761K,2,0,✅ 3/4,↑0 ↓0,$7.14B,Consumer Non-Durables,NYSE
CLF,Cleveland-Cliffs Inc,12.41,16.70,25.7%,19.44,14.12,11.35,19.44,36.2%,1.26,—,-15.2%,14.2%,3.0,SELLING,$-5.0M,0,2,✅ 3/4,↑1 ↓0,$7.08B,Non-Energy Minerals,NYSE
CPB,Campbell's Company,22.72,34.17,33.5%,27.04,36.21,35.55,27.04,16.0%,1.68,6.87%,15.4%,31.2%,7.8,BUYING,$+6K,1,0,✅ 3/4,↑1 ↓0,$6.78B,Consumer Non-Durables,NASDAQ
RIG,Transocean Ltd.,5.81,7.66,24.2%,29.99,4.39,8.16,29.99,80.6%,0.78,—,-18.7%,—,—,SELLING,$-325K,1,1,🔴 2/4,↑0 ↓0,$6.49B,Industrial Services,NYSE
FLG,"Flagstar Bank, National Association",14.19,15.44,8.1%,20.93,21.42,23.52,20.93,32.2%,0.77,0.28%,0.6%,0.0%,0.0,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$5.89B,Finance,NYSE
TFX,Teleflex Incorporated,133.54,145.00,7.9%,133.62,245.04,218.31,133.62,0.1%,1.95,1.02%,-10.5%,10.5%,7.0,NEUTRAL,—,0,0,✅ 3/4,↑2 ↓0,$5.66B,Health Technology,NYSE
CRK,"Comstock Resources, Inc.",14.39,28.10,48.8%,62.85,11.53,13.44,62.85,77.1%,1.64,—,20.9%,31.7%,9.6,SELLING,$-1.0M,0,1,✅ 3/4,↑0 ↓0,$4.23B,Energy Minerals,NYSE
