Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",74.55,87.29,14.6%,228.38,57.93,52.48,228.38,67.4%,0.96,—,7.2%,—,—,SELLING,$-18.1M,0,1,✅ 4/4,↑0 ↓0,$38.98B,Finance,NYSE
PCG,PG&E Corporation,14.23,19.16,25.7%,26.84,14.16,27.30,26.84,47.0%,0.97,—,9.7%,0.0%,—,SELLING,$-5.3M,0,8,✅ 3/4,↑0 ↓0,$31.35B,Utilities,NYSE
FISV,"Fiserv, Inc.",49.92,136.14,63.3%,53.36,116.53,93.20,53.36,6.5%,0.99,—,10.7%,—,—,BUYING,$+2.2M,7,0,🔴 2/4,↑1 ↓0,$26.55B,Commercial Services,NASDAQ
FIS,"Fidelity National Information Services, Inc.",39.12,69.14,43.4%,48.48,82.76,77.66,48.48,19.3%,1.26,—,22.3%,3.6%,2.5,BUYING,$+114K,2,0,🟡 2/4,↑1 ↓0,$20.17B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.54,18.39,10.1%,18.68,11.60,20.52,18.68,11.4%,1.34,—,-2.8%,3.2%,3.4,—,—,0,0,✅ 4/4,↑0 ↓0,$19.00B,Health Technology,NASDAQ
SIRI,SiriusXM Holdings Inc.,28.86,32.66,11.6%,30.76,39.78,39.70,30.76,6.2%,0.82,—,7.6%,17.4%,8.6,SELLING,$-1.2M,0,3,🔴 1/4,↑0 ↓0,$9.73B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",50.27,88.24,43.0%,66.37,107.32,95.14,66.37,24.3%,0.55,—,-6.3%,5.5%,3.9,BUYING,$+810K,5,3,✅ 3/4,↑0 ↓0,$8.76B,Finance,NYSE
MOS,Mosaic Company,26.19,36.99,29.2%,29.29,29.26,28.25,29.29,10.6%,0.73,—,-5.3%,12.1%,3.9,SELLING,$-509K,0,1,🔴 1/4,↑1 ↓0,$8.33B,Process Industries,NYSE
NOV,NOV Inc.,21.45,21.93,2.2%,27.26,15.67,24.21,27.26,21.3%,1.23,—,1.5%,13.3%,7.4,—,—,0,0,🔴 1/4,↑0 ↓0,$7.64B,Industrial Services,NYSE
CAG,"Conagra Brands, Inc.",15.32,20.32,24.6%,16.66,23.69,23.21,16.66,8.0%,1.15,—,-25.1%,10.9%,2.9,BUYING,$+761K,2,0,✅ 3/4,↑0 ↓0,$7.33B,Consumer Non-Durables,NYSE
TAP,Molson Coors Beverage Company Class B,38.87,54.82,29.1%,39.08,45.71,51.97,39.08,0.5%,0.68,—,-19.6%,25.0%,9.4,SELLING,$-53K,0,1,✅ 3/4,↑0 ↓0,$7.31B,Consumer Non-Durables,NYSE
CLF,Cleveland-Cliffs Inc,12.35,16.70,26.0%,19.51,13.98,11.22,19.51,36.7%,1.26,—,-15.2%,14.3%,3.4,SELLING,$-2.9M,0,1,✅ 3/4,↑0 ↓0,$7.05B,Non-Energy Minerals,NYSE
