Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
CNI,Canadian National Railway Company,118.23,9.4%,108.03,100.74,83.99,4.66,2.25%,21.8%,—,3.7,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$71.72B,Transportation,NYSE
ADSK,"Autodesk, Inc.",249.25,2.8%,242.43,237.75,178.19,16.49,—,50.4%,3.1%,3.4,BUYING,$+794K,1,0,✅ 4/4,↑1 ↓0,$52.63B,Technology Services,NASDAQ
PSA,Public Storage,296.48,7.5%,275.72,245.85,204.52,10.68,3.95%,20.3%,5.1%,6.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$52.05B,Finance,NYSE
A,"Agilent Technologies, Inc.",134.77,3.8%,129.86,118.16,89.91,5.34,0.75%,21.3%,2.2%,2.7,NEUTRAL,—,0,0,🟡 1/4,↑1 ↓0,$38.09B,Health Technology,NYSE
SYY,Sysco Corporation,73.89,1.6%,72.73,68.83,57.24,15.38,2.90%,82.3%,3.3%,3.1,BUYING,$+314K,1,2,✅ 3/4,↑0 ↓0,$35.33B,Distribution Services,NYSE
AVB,"AvalonBay Communities, Inc.",185.10,2.0%,181.46,172.83,153.47,2.24,3.90%,9.7%,3.9%,3.9,NEUTRAL,—,0,0,🔴 0/4,↑0 ↓0,$25.75B,Finance,NYSE
J,Jacobs Solutions Inc.,123.03,6.2%,115.84,104.05,79.25,4.42,1.20%,11.5%,6.3%,4.8,BUYING,$+285K,3,1,✅ 4/4,↑0 ↓0,$14.53B,Technology Services,NYSE
WSO,"Watsco, Inc.",357.86,1.6%,352.13,294.16,217.67,4.74,3.60%,17.0%,0.0%,—,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$12.53B,Producer Manufacturing,NYSE
STN,Stantec Inc,75.73,4.1%,72.76,58.56,44.59,3.56,0.95%,15.3%,—,4.4,NEUTRAL,—,0,0,🟡 2/4,—,$8.64B,Industrial Services,NYSE
CAE,CAE Inc.,25.64,7.0%,23.97,23.65,19.80,2.16,—,6.1%,—,4.2,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$8.25B,Commercial Services,NYSE
MIDD,Middleby Corporation,155.41,4.9%,148.12,140.85,130.08,3.05,—,-7.7%,6.7%,3.4,BUYING,$+15.1M,2,0,✅ 4/4,↑0 ↓0,$7.03B,Producer Manufacturing,NASDAQ
GBCI,"Glacier Bancorp, Inc.",46.19,9.6%,42.13,40.34,33.94,1.41,2.78%,7.1%,5.3%,6.9,BUYING,$+9K,1,0,🟡 2/4,↑0 ↓0,$6.01B,Finance,NYSE
SLM,SLM Corp,22.01,8.1%,20.36,17.05,13.58,1.90,2.35%,30.9%,13.9%,6.9,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$4.15B,Finance,NASDAQ
GPI,"Group 1 Automotive, Inc.",310.75,8.6%,286.12,222.14,159.28,1.30,0.70%,11.1%,11.2%,6.0,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$3.70B,Retail Trade,NYSE
CVBF,CVB Financial Corp.,20.02,8.8%,18.40,17.54,16.05,1.17,3.93%,9.1%,5.4%,3.0,BUYING,$+3.0M,4,0,✅ 3/4,↑0 ↓0,$3.53B,Finance,NASDAQ
SFNC,Simmons First National Corporation Class A,21.01,9.0%,19.28,19.14,18.97,0.89,4.01%,-10.4%,4.2%,4.1,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$3.05B,Finance,NASDAQ
HTO,H2O America,56.91,0.9%,56.43,56.20,47.95,1.30,3.04%,6.5%,15.2%,8.2,BUYING,$+6.0M,2,0,🟡 2/4,↑3 ↓0,$2.38B,Utilities,NASDAQ
CENT,Central Garden & Pet Company,38.43,6.1%,36.23,33.86,27.83,1.45,—,10.7%,6.4%,6.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.18B,Consumer Non-Durables,NASDAQ
