Ticker,Company,Price,52W High,% Off 52W High,30Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
PFE,Pfizer Inc.,28.24,28.75,1.8%,28.25,28.25,25.49,18.17,0.0%,1.89,—,5.0%,2.8%,3.9,BUYING,$+2.8M,3,2,✅ 4/4,↑0 ↓0,$160.96B,Health Technology,NYSE
LEN,Lennar Corporation Class A,87.30,144.24,39.5%,94.33,94.33,73.16,48.97,7.4%,0.97,—,7.2%,0.3%,0.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$20.99B,Consumer Durables,NYSE
TSN,"Tyson Foods, Inc. Class A",58.55,69.48,15.7%,59.37,59.37,54.01,33.15,1.4%,1.12,—,3.2%,3.1%,2.9,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$20.19B,Consumer Non-Durables,NYSE
RCI,Rogers Communications Inc. Class B,36.53,41.14,11.2%,37.23,37.23,34.85,25.02,1.9%,1.69,—,44.4%,—,8.8,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$19.74B,Communications,NYSE
ALB,Albemarle Corporation,134.28,221.00,39.2%,138.22,138.22,111.78,70.14,2.8%,1.97,—,2.2%,0.1%,0.0,SELLING,$-5.0M,0,2,✅ 3/4,↑0 ↓0,$15.85B,Process Industries,NYSE
SWK,"Stanley Black & Decker, Inc.",99.80,104.68,4.7%,101.42,101.42,98.43,66.08,1.6%,1.68,—,6.9%,6.2%,4.6,SELLING,$-105K,0,1,✅ 4/4,↑0 ↓0,$15.07B,Consumer Durables,NYSE
COO,"Cooper Companies, Inc.",76.73,89.83,14.6%,85.32,85.32,71.48,42.86,10.1%,1.82,—,2.9%,4.9%,3.6,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$14.96B,Health Technology,NASDAQ
ICLR,ICON Plc,172.49,203.91,15.4%,207.80,207.80,161.37,90.65,17.0%,1.42,—,0.4%,3.3%,2.7,SELLING,$-1.7M,0,9,✅ 3/4,↑0 ↓0,$13.31B,Commercial Services,NASDAQ
CNH,CNH Industrial NV,10.29,13.31,22.7%,10.77,10.77,9.28,,4.4%,1.64,—,4.0%,7.8%,6.2,SELLING,$-490K,0,1,🟡 2/4,↑0 ↓0,$12.74B,Producer Manufacturing,NYSE
WLK,Westlake Corporation,79.45,124.23,36.0%,90.68,90.68,79.10,,12.4%,1.17,—,-12.9%,14.9%,4.5,SELLING,$-7.2M,0,4,🔴 2/4,↑0 ↓0,$10.15B,Process Industries,NYSE
BIO,"Bio-Rad Laboratories, Inc. Class A",364.26,367.95,1.0%,421.33,421.33,329.71,204.95,13.5%,1.36,—,3.1%,0.0%,—,SELLING,$-136K,0,1,🔴 2/4,↑0 ↓0,$9.79B,Health Technology,NYSE
EMN,Eastman Chemical Company,75.16,83.47,10.0%,75.47,75.47,68.57,45.10,0.4%,1.41,—,7.4%,6.2%,4.0,SELLING,$-234K,0,1,✅ 3/4,↑0 ↓0,$8.60B,Process Industries,NYSE
