Ticker,Company,Price,52W High,% Off 52W High,30Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
LEN,Lennar Corporation Class A,84.17,144.24,41.6%,96.28,96.28,74.61,49.78,12.6%,0.94,—,7.2%,0.3%,0.2,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$20.23B,Consumer Durables,NYSE
RCI,Rogers Communications Inc. Class B,37.07,41.14,9.9%,37.25,37.25,34.86,25.03,0.5%,1.72,—,44.4%,—,11.9,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$20.14B,Communications,NYSE
IP,International Paper Company,35.80,50.25,28.8%,36.82,36.82,34.35,24.96,2.8%,1.31,—,-16.5%,16.0%,8.8,BUYING,$+157K,2,2,🔴 1/4,↑0 ↓0,$18.96B,Process Industries,NYSE
ALB,Albemarle Corporation,136.20,221.00,38.4%,144.92,144.92,115.94,72.36,6.0%,2.00,—,2.2%,0.1%,0.0,SELLING,$-5.0M,0,2,✅ 3/4,↑0 ↓0,$16.07B,Process Industries,NYSE
ICLR,ICON Plc,162.00,203.91,20.6%,207.45,207.45,161.16,90.54,21.9%,1.33,—,0.4%,3.2%,2.8,SELLING,$-1.7M,0,9,✅ 3/4,↑0 ↓0,$12.50B,Commercial Services,NASDAQ
BIO,"Bio-Rad Laboratories, Inc. Class A",382.71,396.23,3.4%,424.28,424.28,334.92,207.45,9.8%,1.43,—,3.1%,0.0%,—,SELLING,$-136K,0,1,🔴 2/4,↑0 ↓0,$10.31B,Health Technology,NYSE
GME,GameStop Corp. Class A,19.18,28.10,31.7%,22.55,22.55,15.65,,14.9%,1.47,—,14.1%,13.2%,8.9,SELLING,$-828K,0,5,✅ 3/3,—,$8.61B,Retail Trade,NYSE
REXR,"Rexford Industrial Realty, Inc.",36.76,44.38,17.2%,42.75,42.75,32.73,,14.0%,1.11,—,-4.8%,4.7%,2.7,SELLING,$-2.0M,0,2,✅ 3/4,↑1 ↓0,$8.20B,Finance,NYSE
EMN,Eastman Chemical Company,70.78,83.47,15.2%,77.06,77.06,69.57,45.68,8.1%,1.33,—,7.4%,6.6%,4.7,SELLING,$-234K,0,1,✅ 3/4,↑0 ↓0,$8.10B,Process Industries,NYSE
BLDR,"Builders FirstSource, Inc.",62.77,151.03,58.4%,87.77,87.77,57.93,,28.5%,1.69,—,2.5%,8.1%,3.2,BUYING,$+4.0M,1,1,🔴 1/4,↑1 ↓0,$6.75B,Retail Trade,NYSE
GNTX,Gentex Corporation,22.68,29.38,22.8%,27.02,27.02,22.63,14.64,16.1%,1.88,—,16.1%,7.5%,6.5,SELLING,$-631K,0,4,🟡 2/4,↑0 ↓0,$4.78B,Producer Manufacturing,NASDAQ
ICUI,"ICU Medical, Inc.",167.21,192.85,13.3%,167.28,167.28,165.51,102.63,0.0%,1.94,—,1.4%,6.6%,4.1,SELLING,$-6.7M,0,9,✅ 4/4,↑1 ↓0,$4.18B,Health Technology,NASDAQ
POST,"Post Holdings, Inc.",84.20,117.28,28.2%,84.88,84.88,69.88,,0.8%,1.20,—,8.3%,16.7%,6.4,SELLING,$-650K,0,1,✅ 4/4,↑0 ↓0,$3.70B,Consumer Non-Durables,NYSE
ASH,Ashland Inc.,73.36,78.25,6.3%,74.77,74.77,66.69,43.02,1.9%,1.80,—,4.0%,10.5%,5.4,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$3.36B,Consumer Non-Durables,NYSE
FUL,H.B. Fuller Company,52.95,68.63,22.8%,60.42,60.42,52.81,35.60,12.4%,1.37,—,9.4%,7.4%,4.3,SELLING,$-232K,2,1,✅ 4/4,↑0 ↓0,$2.85B,Process Industries,NYSE
VC,Visteon Corporation,101.36,129.10,21.5%,101.42,101.42,92.79,,0.1%,1.68,—,10.0%,13.9%,7.0,SELLING,$-7.2M,0,7,🔴 2/4,↑0 ↓0,$2.71B,Producer Manufacturing,NASDAQ
PBH,Prestige Consumer Healthcare Inc,52.58,71.07,26.0%,56.31,56.31,50.78,,6.6%,1.30,—,9.1%,10.9%,7.7,SELLING,$-120K,0,4,🔴 1/4,—,$2.49B,Health Technology,NYSE
LCII,LCI Industries,100.09,159.66,37.3%,100.63,100.63,84.46,49.49,0.5%,1.70,—,15.0%,13.7%,7.6,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.43B,Producer Manufacturing,NYSE
WERN,"Werner Enterprises, Inc.",37.23,47.49,21.6%,37.35,37.35,32.08,22.09,0.3%,1.65,—,-3.3%,9.3%,3.0,SELLING,$-41K,0,1,🔴 1/4,↑0 ↓0,$2.23B,Transportation,NASDAQ
