Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
WSO,"Watsco, Inc.",$368.36,4.5%,352.63,294.49,217.87,4.88,3.63%,17.0%,0.0%,—,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$14.90B,Producer Manufacturing,NYSE
PNFP,"Pinnacle Financial Partners, Inc.",$93.50,9.8%,85.14,75.63,64.37,1.02,2.08%,6.2%,3.5%,3.5,BUYING,$+95K,1,0,✅ 3/4,↑1 ↓0,$14.13B,Finance,NYSE
CAE,CAE Inc.,$24.91,4.1%,23.93,23.63,19.79,2.10,—,6.1%,—,4.2,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$8.02B,Commercial Services,NYSE
MIDD,Middleby Corporation,$156.22,5.5%,148.14,140.87,130.09,3.07,—,-7.7%,6.7%,3.4,BUYING,$+15.1M,2,0,✅ 4/4,↑0 ↓0,$7.06B,Producer Manufacturing,NASDAQ
GBCI,"Glacier Bancorp, Inc.",$46.01,9.2%,42.13,40.34,33.94,1.41,2.83%,7.1%,5.3%,6.9,BUYING,$+9K,1,0,🟡 2/4,↑0 ↓0,$5.99B,Finance,NYSE
BCPC,Balchem Corp,$156.62,4.6%,149.70,134.22,108.51,3.92,0.61%,12.7%,1.6%,1.7,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$5.03B,Consumer Non-Durables,NASDAQ
SLM,SLM Corp,$21.62,6.2%,20.35,17.04,13.57,1.86,2.36%,30.9%,13.9%,6.9,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$4.08B,Finance,NASDAQ
GPI,"Group 1 Automotive, Inc.",$305.75,7.1%,285.36,221.58,158.90,1.28,0.71%,11.1%,11.2%,6.0,NEUTRAL,—,0,0,🔴 1/4,↑1 ↓0,$3.64B,Retail Trade,NYSE
CVBF,CVB Financial Corp.,$19.88,8.1%,18.40,17.54,16.05,1.16,3.91%,9.1%,5.4%,3.0,BUYING,$+3.0M,4,0,✅ 3/4,↑0 ↓0,$3.51B,Finance,NASDAQ
AGYS,"Agilysys, Inc.",$88.35,7.6%,82.11,66.60,44.83,7.61,—,13.1%,4.8%,4.3,BUYING,$+78K,2,0,🔴 2/4,↑1 ↓0,$2.49B,Technology Services,NASDAQ
CENT,Central Garden & Pet Company,$37.78,4.4%,36.20,33.84,27.81,1.43,—,10.7%,6.4%,6.9,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$2.13B,Consumer Non-Durables,NASDAQ
