Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,96.00,123.40,22.2%,107.34,115.43,107.34,67.65,10.6%,1.54,1.56%,10.5%,1.4%,2.1,SELLING,$-183K,1,1,✅ 4/4,↑1 ↓0,$166.71B,Consumer Services,NYSE
PFE,Pfizer Inc.,24.48,28.75,14.8%,25.92,28.80,25.92,18.46,5.5%,1.55,7.03%,8.3%,2.9%,3.5,SELLING,$-51K,0,1,✅ 4/4,↑1 ↓0,$139.52B,Health Technology,NYSE
CMCSA,Comcast Corporation Class A,23.97,33.74,29.0%,29.70,33.50,29.70,18.71,19.3%,0.97,5.51%,21.5%,2.8%,2.1,SELLING,$-2.3M,0,3,✅ 4/4,↑1 ↓0,$85.63B,Consumer Services,NASDAQ
BIIB,Biogen Inc.,209.03,219.72,4.9%,263.66,234.77,263.66,172.02,20.7%,1.65,—,7.7%,4.3%,5.0,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$30.86B,Health Technology,NASDAQ
GPN,Global Payments Inc.,76.85,90.64,15.2%,102.68,121.69,102.68,60.30,25.2%,0.88,1.30%,2.6%,8.6%,4.3,BUYING,$+99K,1,0,✅ 4/4,↑2 ↓0,$21.02B,Finance,NYSE
STLA,Stellantis N.V.,5.57,12.22,54.4%,9.56,11.73,9.56,,41.7%,0.23,—,—,3.5%,5.5,—,—,0,0,🟡 1/1,↑0 ↓0,$20.97B,Consumer Durables,NYSE
CTSH,Cognizant Technology Solutions Corporation Class A,44.16,87.03,49.3%,61.90,65.57,61.90,39.28,28.7%,1.39,2.99%,14.9%,12.7%,4.3,SELLING,$-2K,1,9,✅ 4/4,↑1 ↓0,$20.93B,Technology Services,NASDAQ
BCE,BCE Inc.,21.45,26.52,19.1%,27.66,29.66,27.66,19.71,22.4%,1.38,5.81%,31.7%,—,5.8,—,—,0,0,✅ 3/4,—,$20.00B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,75.10,84.45,11.1%,94.87,92.76,94.87,63.21,20.8%,1.36,2.13%,6.1%,7.8%,7.0,BUYING,$+32.3M,3,0,✅ 3/4,↑1 ↓0,$19.17B,Consumer Non-Durables,NYSE
LYB,LyondellBasell Industries NV,58.32,83.94,30.5%,60.16,64.71,60.16,,3.1%,1.87,4.73%,-6.1%,5.0%,2.4,SELLING,$-27.0M,0,2,🔴 2/4,↑0 ↓0,$18.82B,Process Industries,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",94.08,108.29,13.1%,109.72,114.88,109.72,82.15,14.3%,1.44,1.02%,6.1%,8.0%,5.2,SELLING,$-761K,0,3,✅ 4/4,↑1 ↓0,$18.20B,Health Technology,NYSE
CHTR,"Charter Communications, Inc. Class A",131.37,402.15,67.3%,351.48,415.32,351.48,,62.6%,0.99,—,30.2%,43.6%,5.0,SELLING,$-9.0M,4,1,🔴 1/4,↑1 ↓0,$18.19B,Consumer Services,NASDAQ
RCI,Rogers Communications Inc. Class B,33.38,41.14,18.9%,34.78,37.12,34.78,24.99,4.0%,1.40,4.21%,49.3%,—,12.1,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$18.17B,Communications,NYSE
WY,Weyerhaeuser Company,23.41,27.75,15.6%,24.53,26.32,24.53,18.17,4.6%,1.79,3.59%,4.2%,3.9%,4.0,BUYING,$+327K,2,1,✅ 4/4,↑0 ↓0,$16.88B,Finance,NYSE
TU,TELUS Corporation,10.54,16.73,37.0%,13.11,14.82,13.11,8.75,19.6%,1.47,10.33%,6.0%,—,10.2,NEUTRAL,—,0,0,🔴 1/4,—,$16.59B,Communications,NYSE
QXO,"QXO, Inc.",13.89,27.61,49.7%,23.68,28.58,23.68,,41.3%,1.08,—,-6.8%,27.1%,7.3,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$14.42B,Distribution Services,NYSE
GIB,CGI Inc. Class A,67.75,103.03,34.2%,71.06,86.28,71.06,41.98,4.7%,1.98,0.70%,16.6%,—,11.8,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$14.17B,Technology Services,NYSE
HRL,Hormel Foods Corporation,24.46,30.09,18.7%,30.74,33.49,30.74,18.93,20.4%,1.69,4.78%,5.8%,6.8%,4.3,SELLING,$-495K,0,1,✅ 3/4,↑0 ↓0,$13.46B,Consumer Non-Durables,NYSE
SWK,"Stanley Black & Decker, Inc.",86.53,95.16,9.1%,97.62,100.63,97.62,65.58,11.4%,1.50,3.84%,4.2%,4.8%,3.7,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$13.45B,Consumer Durables,NYSE
APTV,Aptiv PLC,59.23,78.49,24.5%,82.62,93.37,82.62,,28.3%,1.36,—,4.0%,6.4%,2.6,SELLING,$-13K,1,2,✅ 3/4,↑0 ↓0,$12.53B,Producer Manufacturing,NYSE
BMRN,BioMarin Pharmaceutical Inc.,59.20,66.28,10.7%,84.15,78.96,84.15,53.73,29.7%,1.84,—,4.5%,—,—,SELLING,$-3.2M,0,4,🔴 1/4,↑1 ↓0,$11.44B,Health Technology,NASDAQ
PSKY,Paramount Skydance Corporation Class B,9.55,20.86,54.2%,31.01,21.74,31.01,,69.2%,0.91,2.09%,-4.3%,14.6%,8.7,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$10.69B,Consumer Services,NASDAQ
WLK,Westlake Corporation,76.07,124.23,38.8%,78.81,90.28,78.81,,3.5%,1.14,2.79%,-17.2%,—,—,SELLING,$-4.1M,0,3,🔴 1/4,↑0 ↓0,$9.75B,Process Industries,NYSE
SWKS,"Skyworks Solutions, Inc.",58.24,90.90,35.9%,83.91,95.13,83.91,47.34,30.6%,1.52,4.88%,6.2%,30.4%,5.2,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$8.76B,Electronic Technology,NASDAQ
BIO,"Bio-Rad Laboratories, Inc. Class A",297.58,343.12,13.3%,322.05,409.61,322.05,200.73,7.6%,1.17,—,2.5%,0.0%,—,SELLING,$-136K,0,1,🔴 2/4,↑0 ↓0,$8.02B,Health Technology,NYSE
KMX,"CarMax, Inc.",54.87,66.04,16.9%,73.43,82.07,73.43,47.55,25.3%,1.27,—,3.6%,10.1%,3.0,BUYING,$+1.3M,5,0,🔴 2/4,↑1 ↓0,$7.79B,Retail Trade,NYSE
EMN,Eastman Chemical Company,67.21,83.47,19.5%,68.36,75.07,68.36,44.67,1.7%,1.28,5.00%,6.7%,6.4%,4.5,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$7.69B,Process Industries,NYSE
TAP,Molson Coors Beverage Company Class B,39.88,54.82,27.3%,52.48,45.72,52.48,39.43,24.0%,0.71,4.81%,-18.2%,25.3%,8.0,BUYING,$+45K,2,1,✅ 3/4,↑0 ↓0,$7.51B,Consumer Non-Durables,NYSE
ZG,"Zillow Group, Inc. Class A",31.94,90.22,64.6%,50.89,59.91,50.89,,37.2%,1.66,—,1.3%,15.4%,2.2,—,—,0,0,🟡 2/4,↑0 ↓0,$7.35B,Technology Services,NASDAQ
VNO,Vornado Realty Trust,38.31,43.37,11.7%,40.71,32.85,40.71,34.44,5.9%,1.49,1.93%,14.0%,0.0%,0.0,BUYING,$+751K,3,1,—,↑0 ↓0,$7.21B,Finance,NYSE
LKQ,LKQ Corporation,25.41,38.91,34.7%,32.87,36.69,32.87,,22.7%,1.00,4.72%,8.3%,6.5%,4.4,NEUTRAL,—,0,0,🔴 1/4,—,$6.47B,Consumer Durables,NASDAQ
TFX,Teleflex Incorporated,136.40,139.67,2.3%,220.48,249.61,220.48,134.50,38.1%,1.96,1.00%,-8.2%,8.5%,4.8,NEUTRAL,—,0,0,—,↑1 ↓0,$6.04B,Health Technology,NYSE
OTEX,Open Text Corporation,23.57,39.90,40.9%,29.32,32.80,29.32,17.95,19.6%,1.44,4.67%,12.4%,5.0%,4.6,—,—,0,0,✅ 4/4,↑0 ↓0,$5.72B,Technology Services,NASDAQ
DOX,Amdocs Limited,52.76,90.29,41.6%,61.90,71.01,61.90,42.03,14.8%,1.66,4.31%,15.6%,11.1%,5.4,SELLING,$-29K,0,1,✅ 3/4,↑1 ↓0,$5.68B,Technology Services,NASDAQ
CE,Celanese Corporation,47.92,70.70,32.2%,87.93,100.92,87.93,,45.5%,1.29,0.25%,-23.3%,11.4%,4.7,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$5.26B,Process Industries,NYSE
ALK,"Alaska Air Group, Inc.",46.80,65.88,29.0%,55.22,48.91,55.22,32.89,15.2%,1.40,—,1.9%,12.3%,3.5,SELLING,$-3.2M,0,5,🔴 2/4,↑0 ↓0,$5.21B,Transportation,NYSE
DLB,"Dolby Laboratories, Inc. Class A",49.36,77.00,35.9%,60.41,71.71,60.41,,18.3%,1.78,2.92%,9.4%,14.5%,7.3,SELLING,$-3.5M,0,10,✅ 4/4,↑0 ↓0,$4.67B,Technology Services,NYSE
KRC,Kilroy Realty Corporation,38.96,45.03,13.5%,42.23,39.84,42.23,31.71,7.7%,0.86,5.54%,4.1%,11.1%,5.8,SELLING,$-2.4M,0,6,✅ 3/4,↑0 ↓0,$4.57B,Finance,NYSE
EPAM,"EPAM Systems, Inc.",86.38,222.53,61.2%,196.14,273.34,196.14,,56.0%,1.33,—,10.9%,30.3%,4.6,NEUTRAL,—,0,0,✅ 4/4,↑1 ↓0,$4.51B,Technology Services,NYSE
AQN,Algonquin Power & Utilities Corp.,5.72,7.11,19.5%,7.13,8.10,7.13,,19.8%,1.01,4.55%,4.3%,—,3.6,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$4.40B,Utilities,NYSE
HHH,Howard Hughes Holdings Inc.,71.67,91.07,21.3%,95.37,79.31,95.37,,24.9%,1.13,—,3.7%,8.5%,5.5,SELLING,$-120K,1,2,🔴 2/4,—,$4.27B,Finance,NYSE
ICUI,"ICU Medical, Inc.",157.60,162.18,2.8%,163.69,168.38,163.69,101.68,3.7%,1.87,—,2.3%,8.1%,5.4,SELLING,$-882K,0,3,✅ 4/4,↑1 ↓0,$3.94B,Health Technology,NASDAQ
BFH,"Bread Financial Holdings, Inc.",97.18,109.91,11.6%,100.99,57.87,100.99,75.27,3.8%,1.21,0.95%,17.6%,0.0%,0.0,SELLING,$-1.3M,1,1,✅ 4/4,↑1 ↓0,$3.93B,Finance,NYSE
MCHB,Mechanics Bancorp. Class A,16.22,43478.00,100.0%,19.53,20.08,19.53,,17.0%,1.34,10.77%,13.7%,8.6%,6.6,SELLING,$-30,0,1,🔴 1/3,↑1 ↓0,$3.75B,Finance,NASDAQ
