Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
SPGI,"S&P Global, Inc.",437.84,9.0%,401.86,364.03,264.69,4.16,0.89%,14.8%,1.2%,1.4,BUYING,$+3.6M,4,0,✅ 3/4,↑0 ↓0,$129.60B,Commercial Services,NYSE
J,Jacobs Solutions Inc.,126.54,9.4%,115.68,104.09,79.03,4.54,1.14%,11.5%,6.9%,5.2,BUYING,$+285K,3,1,✅ 4/4,↑0 ↓0,$14.94B,Technology Services,NYSE
WTRG,"Essential Utilities, Inc.",38.59,1.8%,37.90,37.64,32.31,1.59,3.55%,8.3%,1.9%,2.2,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$10.95B,Utilities,NYSE
MTDR,Matador Resources Company,53.11,4.3%,50.94,38.92,32.65,1.18,2.82%,8.9%,11.0%,7.0,BUYING,$+720K,12,0,✅ 4/4,↑0 ↓0,$6.60B,Energy Minerals,NYSE
RLI,RLI Corp.,61.46,3.7%,59.25,51.84,39.57,3.15,1.17%,23.2%,8.9%,6.9,BUYING,$+1.5M,9,0,✅ 4/4,—,$5.65B,Finance,NYSE
SON,Sonoco Products Company,53.65,8.9%,49.28,48.57,43.28,1.49,4.03%,20.2%,13.5%,7.8,BUYING,$+650K,2,2,🟡 1/4,↑0 ↓0,$5.30B,Process Industries,NYSE
BCPC,Balchem Corp,161.44,9.2%,147.86,134.44,108.81,4.04,0.59%,12.7%,2.2%,1.9,NEUTRAL,—,0,0,✅ 3/4,↑0 ↓0,$5.19B,Consumer Non-Durables,NASDAQ
SLGN,Silgan Holdings Inc.,44.94,1.2%,44.41,40.17,33.37,2.05,1.87%,12.9%,10.1%,9.4,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$4.75B,Process Industries,NYSE
KBH,KB Home,54.81,6.9%,51.26,44.56,33.71,0.89,1.82%,6.9%,20.6%,4.6,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$3.36B,Consumer Durables,NYSE
MGEE,"MGE Energy, Inc.",82.17,7.7%,76.29,71.80,60.95,2.24,2.31%,10.9%,6.3%,5.0,BUYING,$+29K,1,0,🟡 2/4,—,$3.10B,Utilities,NASDAQ
APAM,"Artisan Partners Asset Management, Inc. Class A",36.68,9.7%,33.45,29.96,23.93,6.69,9.24%,69.7%,8.3%,5.6,NEUTRAL,—,0,0,🟡 2/4,↑0 ↓0,$2.97B,Finance,NYSE
