Ticker,Company,Price,52W High,% Off 52W High,50Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
DIS,Walt Disney Company,103.00,124.69,17.4%,108.63,117.35,108.63,67.99,5.2%,1.65,1.46%,10.5%,1.4%,3.1,BUYING,$+1.6M,2,2,✅ 4/4,↑0 ↓0,$178.86B,Consumer Services,NYSE
CMCSA,Comcast Corporation Class A,25.20,34.34,26.6%,30.03,33.95,30.03,18.90,16.1%,1.02,5.24%,21.5%,2.7%,3.0,SELLING,$-2.3M,0,3,✅ 4/4,↑0 ↓0,$90.04B,Consumer Services,NASDAQ
BDX,"Becton, Dickinson and Company",147.63,187.35,21.2%,151.77,174.26,151.77,94.94,2.7%,1.69,2.84%,5.7%,2.6%,2.4,SELLING,$-712K,0,9,✅ 4/4,↑0 ↓0,$40.68B,Health Technology,NYSE
ROP,"Roper Technologies, Inc.",326.94,576.55,43.3%,339.09,435.22,339.09,195.40,3.6%,1.78,1.11%,9.0%,4.4%,3.3,SELLING,$-2.2M,1,1,✅ 4/4,↑0 ↓0,$32.99B,Technology Services,NASDAQ
FISV,"Fiserv, Inc.",57.13,177.36,67.8%,91.26,115.96,91.26,52.08,37.4%,1.16,—,12.3%,—,—,BUYING,$+1.6M,2,0,✅ 3/4,↑2 ↓0,$30.46B,Commercial Services,NASDAQ
STLA,Stellantis N.V.,7.61,12.22,37.7%,9.37,11.56,9.37,,18.8%,0.32,—,—,2.6%,3.5,—,—,0,0,🟡 1/1,↑0 ↓0,$28.64B,Consumer Durables,NYSE
BIIB,Biogen Inc.,193.76,205.97,5.9%,263.44,233.17,263.44,170.91,26.4%,1.53,—,7.7%,3.4%,3.2,SELLING,$-665K,1,2,✅ 4/4,↑0 ↓0,$28.61B,Health Technology,NASDAQ
CTSH,Cognizant Technology Solutions Corporation Class A,52.75,87.03,39.4%,61.70,65.87,61.70,38.74,14.5%,1.66,2.50%,14.9%,8.7%,6.8,SELLING,$-5.1M,0,22,✅ 4/4,↑1 ↓0,$25.00B,Technology Services,NASDAQ
BCE,BCE Inc.,24.60,26.52,7.2%,27.97,30.08,27.97,19.77,12.0%,1.59,5.07%,31.7%,—,5.5,—,—,0,0,✅ 3/4,↑0 ↓0,$22.94B,Communications,NYSE
CHTR,"Charter Communications, Inc. Class A",145.15,422.29,65.6%,351.38,422.61,351.38,,58.7%,1.09,—,30.2%,39.5%,6.0,BUYING,$+3.8M,4,0,🔴 1/4,↑0 ↓0,$20.10B,Consumer Services,NASDAQ
GPN,Global Payments Inc.,73.26,90.64,19.2%,102.09,123.72,102.09,59.77,28.2%,0.84,1.37%,2.6%,5.5%,4.4,BUYING,$+94K,2,2,✅ 4/4,↑1 ↓0,$20.04B,Commercial Services,NYSE
TU,TELUS Corporation,12.49,16.73,25.4%,13.27,15.07,13.27,8.77,5.9%,1.74,8.72%,6.0%,—,10.8,NEUTRAL,—,0,0,🔴 1/4,↑0 ↓0,$19.50B,Communications,NYSE
IFF,International Flavors & Fragrances Inc.,75.28,84.45,10.9%,96.29,94.83,96.29,63.52,21.8%,1.36,2.13%,6.1%,5.3%,6.9,BUYING,$+12.1M,3,1,✅ 3/4,↑0 ↓0,$19.22B,Consumer Non-Durables,NYSE
GIS,"General Mills, Inc.",33.69,55.19,39.0%,46.96,52.87,46.96,32.02,28.3%,1.92,7.24%,23.7%,9.6%,4.8,SELLING,$-1.0M,0,3,✅ 3/4,↑1 ↓0,$17.98B,Consumer Non-Durables,NYSE
AMCR,Amcor PLC,38.38,50.94,24.7%,40.46,44.18,40.46,,5.1%,1.52,6.77%,8.7%,7.3%,7.2,—,—,0,0,🟡 2/4,↑1 ↓0,$17.74B,Process Industries,NYSE
WY,Weyerhaeuser Company,23.66,27.86,15.1%,24.60,26.45,24.60,18.07,3.8%,1.81,3.55%,4.2%,3.6%,4.8,SELLING,$-1.7M,3,2,✅ 4/4,↑0 ↓0,$17.06B,Finance,NYSE
FLUT,Flutter Entertainment Plc,97.38,313.69,69.0%,136.93,164.11,136.93,,28.9%,1.87,—,-4.0%,6.8%,3.4,SELLING,$-1.3M,7,6,✅ 4/4,↑0 ↓0,$16.94B,Consumer Services,NYSE
IP,International Paper Company,31.29,56.13,44.3%,33.39,35.33,33.39,24.33,6.3%,1.12,5.91%,-16.0%,15.3%,5.9,BUYING,$+4.3M,4,0,🔴 0/4,↑1 ↓0,$16.57B,Process Industries,NYSE
ZBH,"Zimmer Biomet Holdings, Inc.",85.50,108.29,21.0%,109.56,115.69,109.56,81.53,22.0%,1.30,1.12%,6.1%,6.8%,4.0,SELLING,$-347K,0,2,✅ 4/4,↑1 ↓0,$16.54B,Health Technology,NYSE
GIB,CGI Inc. Class A,66.97,110.07,39.2%,70.35,86.36,70.35,41.37,4.8%,1.96,0.72%,16.6%,—,7.1,NEUTRAL,—,0,0,✅ 4/4,↑0 ↓0,$14.23B,Technology Services,NYSE
CSGP,"CoStar Group, Inc.",33.95,97.43,65.2%,52.84,71.92,52.84,29.07,35.8%,1.75,—,0.3%,4.3%,2.8,BUYING,$+6.0M,5,0,✅ 4/4,↑0 ↓0,$13.86B,Technology Services,NASDAQ
MKC,"McCormick & Company, Incorporated",47.80,78.16,38.8%,59.14,72.36,59.14,36.45,19.2%,1.84,4.02%,26.5%,—,—,BUYING,$+106K,1,0,✅ 3/4,↑1 ↓0,$12.85B,Consumer Non-Durables,NYSE
COO,"Cooper Companies, Inc.",62.55,89.83,30.4%,70.40,84.85,70.40,42.05,11.2%,1.46,—,4.9%,3.2%,2.6,BUYING,$+1.3M,5,0,✅ 4/4,↑0 ↓0,$12.20B,Health Technology,NASDAQ
APTV,Aptiv PLC,57.36,75.33,23.9%,82.48,93.27,82.48,,30.5%,1.32,—,4.0%,4.6%,2.6,SELLING,$-1.9M,2,4,✅ 3/4,↑0 ↓0,$12.14B,Producer Manufacturing,NYSE
QXO,"QXO, Inc.",16.67,27.61,39.6%,23.36,27.97,23.36,,28.7%,1.30,—,-6.8%,16.2%,6.5,NEUTRAL,—,0,0,🟡 1/4,↑0 ↓0,$12.09B,Distribution Services,NYSE
