Ticker,Company,Price,% Above 20Q SMA,20Q SMA,30Q SMA,50Q SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
SPGI,"S&P Global, Inc.",410.53,1.5%,404.29,370.90,269.95,3.84,0.95%,15.2%,3.0%,4.0,BUYING,$+2.6M,3,0,🔴 2/4,↑0 ↓0,$121.02B,Commercial Services,NYSE
HUM,Humana Inc.,384.31,6.0%,362.57,362.16,296.64,2.40,0.92%,6.8%,3.5%,2.4,BUYING,$+150K,1,0,✅ 4/4,↑0 ↓0,$46.15B,Health Services,NYSE
AWK,"American Water Works Company, Inc.",134.35,1.3%,132.66,129.19,101.47,2.29,2.66%,10.1%,7.8%,5.2,NEUTRAL,—,0,0,🔴 2/4,↑0 ↓0,$26.70B,Utilities,NYSE
IP,International Paper Company,40.26,8.1%,37.23,35.91,33.82,1.47,4.60%,-16.5%,16.5%,8.4,BUYING,$+157K,2,2,🔴 1/4,↑0 ↓0,$21.32B,Process Industries,NYSE
RBA,"RB Global, Inc.",82.11,5.9%,77.53,66.98,50.41,2.73,1.61%,8.0%,9.4%,13.3,BUYING,$+51K,2,2,✅ 3/4,↑1 ↓0,$15.20B,Technology Services,NYSE
TTEK,"Tetra Tech, Inc.",35.82,7.8%,33.22,29.04,20.46,4.95,0.80%,24.3%,5.2%,4.0,BUYING,$+50K,1,0,✅ 4/4,↑0 ↓0,$9.17B,Industrial Services,NASDAQ
MTDR,Matador Resources Company,55.94,9.1%,51.26,39.78,32.93,1.17,2.68%,12.8%,12.5%,7.6,BUYING,$+1.7M,15,0,✅ 4/4,↑0 ↓0,$6.92B,Energy Minerals,NYSE
RLI,RLI Corp.,62.42,7.3%,58.16,51.25,39.23,3.27,1.15%,25.2%,9.8%,8.2,BUYING,$+1.1M,7,0,✅ 4/4,↑0 ↓0,$5.73B,Finance,NYSE
LOPE,"Grand Canyon Education, Inc.",141.84,3.8%,136.66,121.02,100.14,5.56,—,31.0%,7.0%,4.8,NEUTRAL,—,0,0,✅ 3/4,↑1 ↓0,$3.70B,Commercial Services,NASDAQ
MGEE,"MGE Energy, Inc.",81.03,6.3%,76.24,71.94,61.17,2.13,2.34%,11.0%,5.9%,7.3,BUYING,$+29K,1,0,✅ 3/4,↑0 ↓0,$3.06B,Utilities,NASDAQ
CXT,"Crane NXT, Co.",50.33,2.8%,48.98,40.89,33.02,2.29,1.43%,11.5%,17.7%,11.1,BUYING,$+986K,2,1,✅ 4/4,—,$2.90B,Producer Manufacturing,NYSE
