Ticker,Company,Price,52W High,% Off 52W High,100Q SMA,30Q SMA,50Q SMA,100Q SMA,% Below SMA,P/B Ratio,Div Yield,ROE,Short % Float,Short Ratio (Days),Insider Signal,Insider Net Value (6mo),Insider Buys,Insider Sells,EPS Beats (4Q),Analyst (90d),Market Cap,Sector,Exchange
AIG,"American International Group, Inc.",77.38,87.29,11.4%,230.25,56.77,51.79,230.25,66.4%,1.00,—,7.2%,1.6%,2.1,SELLING,$-18.1M,0,1,✅ 4/4,↑0 ↓0,$40.46B,Finance,NYSE
PCG,PG&E Corporation,18.11,19.16,5.5%,27.20,14.22,27.83,27.20,33.4%,1.23,—,9.7%,0.0%,—,SELLING,$-6.4M,0,9,✅ 3/4,↑0 ↓0,$39.88B,Utilities,NYSE
FIS,"Fidelity National Information Services, Inc.",41.40,71.57,42.2%,48.20,84.94,77.76,48.20,14.1%,1.33,—,22.3%,4.2%,3.3,BUYING,$+1.1M,3,0,🟡 2/4,↑1 ↓0,$21.35B,Technology Services,NYSE
VTRS,"Viatris, Inc.",16.54,18.39,10.1%,18.54,11.56,20.73,18.54,10.8%,1.34,—,-2.8%,4.0%,4.8,—,—,0,0,✅ 4/4,—,$19.00B,Health Technology,NASDAQ
SIRI,SiriusXM Holdings Inc.,28.45,32.66,12.9%,31.02,40.27,39.65,31.02,8.3%,0.81,—,7.6%,17.2%,8.6,SELLING,$-1.2M,0,3,🔴 1/4,↑0 ↓0,$9.59B,Consumer Services,NASDAQ
ARE,"Alexandria Real Estate Equities, Inc.",54.04,88.24,38.8%,66.41,107.45,95.22,66.41,18.6%,0.59,—,-6.3%,5.6%,4.3,BUYING,$+1.1M,5,3,✅ 3/4,↑0 ↓0,$9.42B,Finance,NYSE
CAG,"Conagra Brands, Inc.",16.67,20.32,17.9%,16.76,23.98,23.40,16.76,0.5%,1.25,—,-25.1%,11.7%,2.7,BUYING,$+761K,2,0,✅ 3/4,↑0 ↓0,$7.98B,Consumer Non-Durables,NYSE
MOS,Mosaic Company,24.00,36.99,35.1%,28.83,29.17,28.08,28.83,16.7%,0.67,—,-5.3%,13.3%,4.0,SELLING,$-509K,0,1,🔴 1/4,↑1 ↓0,$7.63B,Process Industries,NYSE
CPB,Campbell's Company,24.16,34.17,29.3%,27.06,36.26,35.58,27.06,10.7%,1.79,—,15.4%,31.2%,7.8,BUYING,$+6K,1,0,✅ 3/4,↑1 ↓0,$7.20B,Consumer Non-Durables,NASDAQ
NOV,NOV Inc.,19.76,21.67,8.8%,27.25,15.62,24.17,27.25,27.5%,1.14,—,1.5%,13.8%,7.4,—,—,0,0,🔴 1/4,↑0 ↓0,$7.04B,Industrial Services,NYSE
